,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,20.9
301,20.9
302,20.9
303,20.9
304,20.9
305,20.9
306,20.9
307,20.9
308,20.9
309,20.9
310,30.8
311,30.8
312,30.8
313,30.8
314,30.8
315,30.8
316,30.8
317,30.8
318,30.8
319,30.8
320,41.1
321,41.1
322,41.1
323,41.1
324,41.1
325,41.1
326,41.1
327,41.1
328,41.1
329,41.1
330,50.0
331,50.0
332,50.0
333,50.0
334,50.0
335,50.0
336,50.0
337,50.0
338,50.0
339,50.0
340,55.2
341,55.2
342,55.2
343,55.2
344,55.2
345,55.2
346,55.2
347,55.2
348,55.2
349,55.2
350,41.9
351,41.9
352,41.9
353,41.9
354,41.9
355,41.9
356,41.9
357,41.9
358,41.9
359,41.9
360,78.3
361,78.3
362,78.3
363,78.3
364,78.3
365,78.3
366,78.3
367,78.3
368,78.3
369,78.3
370,90.8
371,90.8
372,90.8
373,90.8
374,90.8
375,90.8
376,90.8
377,90.8
378,90.8
379,90.8
380,126.5
381,126.5
382,126.5
383,126.5
384,126.5
385,126.5
386,126.5
387,126.5
388,126.5
389,126.5
390,127.6
391,127.6
392,127.6
393,127.6
394,127.6
395,127.6
396,127.6
397,127.6
398,127.6
399,127.6
400,152.9
401,152.9
402,152.9
403,152.9
404,152.9
405,152.9
406,152.9
407,152.9
408,152.9
409,152.9
410,176.1
411,176.1
412,176.1
413,176.1
414,176.1
415,176.1
416,176.1
417,176.1
418,176.1
419,176.1
420,193.8
421,193.8
422,193.8
423,193.8
424,193.8
425,193.8
426,193.8
427,193.8
428,193.8
429,193.8
430,238.2
431,238.2
432,238.2
433,238.2
434,238.2
435,238.2
436,238.2
437,238.2
438,238.2
439,238.2
440,304.8
441,304.8
442,304.8
443,304.8
444,304.8
445,304.8
446,304.8
447,304.8
448,304.8
449,304.8
450,337.4
451,337.4
452,337.4
453,337.4
454,337.4
455,337.4
456,337.4
457,337.4
458,337.4
459,337.4
460,373.1
461,373.1
462,373.1
463,373.1
464,373.1
465,373.1
466,373.1
467,373.1
468,373.1
469,373.1
470,408.6
471,408.6
472,408.6
473,408.6
474,408.6
475,408.6
476,408.6
477,408.6
478,408.6
479,408.6
480,443.8
481,443.8
482,443.8
483,443.8
484,443.8
485,443.8
486,443.8
487,443.8
488,443.8
489,443.8
490,477.9
491,477.9
492,477.9
493,477.9
494,477.9
495,477.9
496,477.9
497,477.9
498,477.9
499,477.9
500,510.8
501,510.8
502,510.8
503,510.8
504,510.8
505,510.8
506,510.8
507,510.8
508,510.8
509,510.8
510,545.8
511,545.8
512,545.8
513,545.8
514,545.8
515,545.8
516,545.8
517,545.8
518,545.8
519,545.8
520,575.0
521,575.0
522,575.0
523,575.0
524,575.0
525,575.0
526,575.0
527,575.0
528,575.0
529,575.0
530,614.5
531,614.5
532,614.5
533,614.5
534,614.5
535,614.5
536,614.5
537,614.5
538,614.5
539,614.5
540,648.0
541,648.0
542,648.0
543,648.0
544,648.0
545,648.0
546,648.0
547,648.0
548,648.0
549,648.0
550,680.3
551,680.3
552,680.3
553,680.3
554,680.3
555,680.3
556,680.3
557,680.3
558,680.3
559,680.3
560,712.0
561,712.0
562,712.0
563,712.0
564,712.0
565,712.0
566,712.0
567,712.0
568,712.0
569,712.0
570,745.7
571,745.7
