,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,21.9
331,21.9
332,21.9
333,21.9
334,21.9
335,21.9
336,21.9
337,21.9
338,21.9
339,21.9
340,32.6
341,32.6
342,32.6
343,32.6
344,32.6
345,32.6
346,32.6
347,32.6
348,32.6
349,32.6
350,44.2
351,44.2
352,44.2
353,44.2
354,44.2
355,44.2
356,44.2
357,44.2
358,44.2
359,44.2
360,54.6
361,54.6
362,54.6
363,54.6
364,54.6
365,54.6
366,54.6
367,54.6
368,54.6
369,54.6
370,72.6
371,72.6
372,72.6
373,72.6
374,72.6
375,72.6
376,72.6
377,72.6
378,72.6
379,72.6
380,95.5
381,95.5
382,95.5
383,95.5
384,95.5
385,95.5
386,95.5
387,95.5
388,95.5
389,95.5
390,125.0
391,125.0
392,125.0
393,125.0
394,125.0
395,125.0
396,125.0
397,125.0
398,125.0
399,125.0
400,141.5
401,141.5
402,141.5
403,141.5
404,141.5
405,141.5
406,141.5
407,141.5
408,141.5
409,141.5
410,173.4
411,173.4
412,173.4
413,173.4
414,173.4
415,173.4
416,173.4
417,173.4
418,173.4
419,173.4
420,221.4
421,221.4
422,221.4
423,221.4
424,221.4
425,221.4
426,221.4
427,221.4
428,221.4
429,221.4
430,266.2
431,266.2
432,266.2
433,266.2
434,266.2
435,266.2
436,266.2
437,266.2
438,266.2
439,266.2
440,297.4
441,297.4
442,297.4
443,297.4
444,297.4
445,297.4
446,297.4
447,297.4
448,297.4
449,297.4
450,349.6
451,349.6
452,349.6
453,349.6
454,349.6
455,349.6
456,349.6
457,349.6
458,349.6
459,349.6
460,389.2
461,389.2
462,389.2
463,389.2
464,389.2
465,389.2
466,389.2
467,389.2
468,389.2
469,389.2
470,433.5
471,433.5
472,433.5
473,433.5
474,433.5
475,433.5
476,433.5
477,433.5
478,433.5
479,433.5
480,474.9
481,474.9
482,474.9
483,474.9
484,474.9
485,474.9
486,474.9
487,474.9
488,474.9
489,474.9
490,517.0
491,517.0
492,517.0
493,517.0
494,517.0
495,517.0
496,517.0
497,517.0
498,517.0
499,517.0
500,553.4
501,553.4
502,553.4
503,553.4
504,553.4
505,553.4
506,553.4
507,553.4
508,553.4
509,553.4
510,582.7
511,582.7
512,582.7
513,582.7
514,582.7
515,582.7
516,582.7
517,582.7
518,582.7
519,582.7
520,619.0
521,619.0
522,619.0
523,619.0
524,619.0
525,619.0
526,619.0
527,619.0
528,619.0
529,619.0
530,652.1
531,652.1
532,652.1
533,652.1
534,652.1
535,652.1
536,652.1
537,652.1
538,652.1
539,652.1
540,683.7
541,683.7
542,683.7
543,683.7
544,683.7
545,683.7
546,683.7
547,683.7
548,683.7
549,683.7
550,720.5
551,720.5
552,720.5
553,720.5
554,720.5
555,720.5
556,720.5
557,720.5
558,720.5
559,720.5
560,758.4
561,758.4
562,758.4
563,758.4
564,758.4
565,758.4
566,758.4
567,758.4
568,758.4
569,758.4
570,735.7
571,735.7
