DateTime,DegreeCelsius
2022-06-15 00:00:00,27.3
2022-06-15 00:10:00,27.5
2022-06-15 00:20:00,27.4
2022-06-15 00:30:00,26.9
2022-06-15 00:40:00,26.2
2022-06-15 00:50:00,25.0
2022-06-15 01:00:00,24.0
2022-06-15 01:10:00,23.6
2022-06-15 01:20:00,22.9
2022-06-15 01:30:00,21.9
2022-06-15 01:40:00,21.4
2022-06-15 01:50:00,21.1
2022-06-15 02:00:00,21.8
2022-06-15 02:10:00,21.2
2022-06-15 02:20:00,20.6
2022-06-15 02:30:00,20.9
2022-06-15 02:40:00,20.3
2022-06-15 02:50:00,19.7
2022-06-15 03:00:00,19.2
2022-06-15 03:10:00,22.1
2022-06-15 03:20:00,23.8
2022-06-15 03:30:00,22.2
2022-06-15 03:40:00,21.4
2022-06-15 03:50:00,21.1
2022-06-15 04:00:00,21.4
2022-06-15 04:10:00,21.6
2022-06-15 04:20:00,21.3
2022-06-15 04:30:00,21.8
2022-06-15 04:40:00,20.7
2022-06-15 04:50:00,19.6
2022-06-15 05:00:00,18.3
2022-06-15 05:10:00,17.4
2022-06-15 05:20:00,17.0
2022-06-15 05:30:00,17.1
2022-06-15 05:40:00,16.7
2022-06-15 05:50:00,16.4
2022-06-15 06:00:00,16.2
2022-06-15 06:10:00,16.2
2022-06-15 06:20:00,15.9
2022-06-15 06:30:00,16.5
2022-06-15 06:40:00,16.9
2022-06-15 06:50:00,16.6
2022-06-15 07:00:00,16.4
2022-06-15 07:10:00,16.6
2022-06-15 07:20:00,16.5
2022-06-15 07:30:00,17.2
2022-06-15 07:40:00,18.0
2022-06-15 07:50:00,18.9
2022-06-15 08:00:00,19.9
2022-06-15 08:10:00,21.2
2022-06-15 08:20:00,21.8
2022-06-15 08:30:00,21.6
2022-06-15 08:40:00,22.0
2022-06-15 08:50:00,22.5
2022-06-15 09:00:00,22.8
2022-06-15 09:10:00,23.2
2022-06-15 09:20:00,23.4
2022-06-15 09:30:00,23.8
2022-06-15 09:40:00,24.7
2022-06-15 09:50:00,25.8
2022-06-15 10:00:00,25.8
2022-06-15 10:10:00,26.2
2022-06-15 10:20:00,26.7
2022-06-15 10:30:00,27.2
2022-06-15 10:40:00,27.7
2022-06-15 10:50:00,27.9
2022-06-15 11:00:00,28.1
2022-06-15 11:10:00,28.7
2022-06-15 11:20:00,28.8
2022-06-15 11:30:00,29.0
2022-06-15 11:40:00,29.4
2022-06-15 11:50:00,29.6
2022-06-15 12:00:00,29.8
2022-06-15 12:10:00,30.5
2022-06-15 12:20:00,30.6
2022-06-15 12:30:00,31.2
2022-06-15 12:40:00,31.5
2022-06-15 12:50:00,31.8
2022-06-15 13:00:00,32.3
2022-06-15 13:10:00,32.0
2022-06-15 13:20:00,32.2
2022-06-15 13:30:00,32.5
2022-06-15 13:40:00,33.1
2022-06-15 13:50:00,33.6
2022-06-15 14:00:00,33.8
2022-06-15 14:10:00,34.0
2022-06-15 14:20:00,34.2
2022-06-15 14:30:00,34.3
2022-06-15 14:40:00,34.3
2022-06-15 14:50:00,34.3
2022-06-15 15:00:00,34.8
2022-06-15 15:10:00,34.7
2022-06-15 15:20:00,34.9
2022-06-15 15:30:00,35.2
2022-06-15 15:40:00,35.6
2022-06-15 15:50:00,35.8
2022-06-15 16:00:00,35.8
2022-06-15 16:10:00,35.4
2022-06-15 16:20:00,35.2
2022-06-15 16:30:00,34.8
2022-06-15 16:40:00,34.5
2022-06-15 16:50:00,34.4
2022-06-15 17:00:00,34.2
2022-06-15 17:10:00,34.2
2022-06-15 17:20:00,34.0
2022-06-15 17:30:00,33.6
2022-06-15 17:40:00,33.4
2022-06-15 17:50:00,33.2
2022-06-15 18:00:00,33.4
2022-06-15 18:10:00,33.1
2022-06-15 18:20:00,33.2
2022-06-15 18:30:00,33.1
2022-06-15 18:40:00,33.1
2022-06-15 18:50:00,32.8
2022-06-15 19:00:00,32.6
2022-06-15 19:10:00,32.5
2022-06-15 19:20:00,32.2
2022-06-15 19:30:00,32.2
2022-06-15 19:40:00,32.0
2022-06-15 19:50:00,31.8
2022-06-15 20:00:00,31.6
2022-06-15 20:10:00,31.2
2022-06-15 20:20:00,31.2
2022-06-15 20:30:00,30.9
2022-06-15 20:40:00,30.5
2022-06-15 20:50:00,30.3
2022-06-15 21:00:00,30.0
2022-06-15 21:10:00,29.6
2022-06-15 21:20:00,28.8
2022-06-15 21:30:00,28.2
2022-06-15 21:40:00,27.8
2022-06-15 21:50:00,27.2
2022-06-15 22:00:00,26.9
2022-06-15 22:10:00,26.9
2022-06-15 22:20:00,26.5
2022-06-15 22:30:00,25.4
2022-06-15 22:40:00,24.3
2022-06-15 22:50:00,23.4
2022-06-15 23:00:00,23.1
2022-06-15 23:10:00,22.3
2022-06-15 23:20:00,21.9
2022-06-15 23:30:00,21.3
2022-06-15 23:40:00,21.0
2022-06-15 23:50:00,21.7
