98%">"FECHA","TEMPERATURA",
"","  C",
"01/12/20210:00","0.5",
"01/12/20210:10","0.6",
"01/12/20210:20","0.8",
"01/12/20210:30","0.7",
"01/12/20210:40","0.5",
"01/12/20210:50","0.6",
"01/12/20211:00","0.7",
"01/12/20211:10","0.7",
"01/12/20211:20","0.8",
"01/12/20211:30","0.8",
"01/12/20211:40","0.8",
"01/12/20211:50","0.9",
"01/12/20212:00","1.0",
"01/12/20212:10","1.0",
"01/12/20212:20","1.0",
"01/12/20212:30","1.0",
"01/12/20212:40","0.9",
"01/12/20212:50","0.8",
"01/12/20213:00","0.9",
"01/12/20213:10","0.9",
"01/12/20213:20","0.9",
"01/12/20213:30","1.0",
"01/12/20213:40","1.0",
"01/12/20213:50","1.0",
"01/12/20214:00","1.1",
"01/12/20214:10","1.1",
"01/12/20214:20","1.0",
"01/12/20214:30","0.9",
"01/12/20214:40","0.9",
"01/12/20214:50","1.0",
"01/12/20215:00","1.2",
"01/12/20215:10","1.3",
"01/12/20215:20","1.3",
"01/12/20215:30","1.1",
"01/12/20215:40","1.0",
"01/12/20215:50","0.9",
"01/12/20216:00","1.0",
"01/12/20216:10","1.1",
"01/12/20216:20","1.2",
"01/12/20216:30","1.2",
"01/12/20216:40","1.2",
"01/12/20216:50","1.1",
"01/12/20217:00","1.0",
"01/12/20217:10","1.2",
"01/12/20217:20","1.2",
"01/12/20217:30","1.3",
"01/12/20217:40","1.3",
"01/12/20217:50","1.3",
"01/12/20218:00","1.4",
"01/12/20218:10","1.5",
"01/12/20218:20","1.6",
"01/12/20218:30","1.6",
"01/12/20218:40","1.5",
"01/12/20218:50","1.6",
"01/12/20219:00","1.6",
"01/12/20219:10","1.6",
"01/12/20219:20","1.7",
"01/12/20219:30","1.8",
"01/12/20219:40","1.9",
"01/12/20219:50","2.0",
"01/12/202110:00","2.1",
"01/12/202110:10","2.0",
"01/12/202110:20","2.0",
"01/12/202110:30","2.0",
"01/12/202110:40","2.2",
"01/12/202110:50","2.4",
"01/12/202111:00","2.5",
"01/12/202111:10","2.7",
"01/12/202111:20","2.6",
"01/12/202111:30","2.7",
"01/12/202111:40","2.9",
"01/12/202111:50","3.1",
"01/12/202112:00","3.2",
"01/12/202112:10","3.2",
"01/12/202112:20","3.2",
"01/12/202112:30","3.4",
"01/12/202112:40","3.4",
"01/12/202112:50","3.6",
"01/12/202113:00","3.6",
"01/12/202113:10","3.6",
"01/12/202113:20","3.5",
"01/12/202113:30","3.6",
"01/12/202113:40","3.8",
"01/12/202113:50","3.9",
"01/12/202114:00","4.0",
"01/12/202114:10","4.1",
"01/12/202114:20","4.2",
"01/12/202114:30","4.1",
"01/12/202114:40","4.3",
"01/12/202114:50","4.0",
"01/12/202115:00","3.8",
"01/12/202115:10","3.7",
"01/12/202115:20","3.7",
"01/12/202115:30","3.8",
"01/12/202115:40","3.9",
"01/12/202115:50","4.0",
"01/12/202116:00","3.9",
"01/12/202116:10","4.0",
"01/12/202116:20","4.0",
"01/12/202116:30","4.0",
"01/12/202116:40","4.0",
"01/12/202116:50","4.0",
"01/12/202117:00","4.0",
"01/12/202117:10","4.0",
"01/12/202117:20","3.9",
"01/12/202117:30","4.0",
"01/12/202117:40","4.0",
"01/12/202117:50","3.9",
"01/12/202118:00","3.8",
"01/12/202118:10","3.6",
"01/12/202118:20","3.7",
"01/12/202118:30","3.7",
"01/12/202118:40","3.7",
"01/12/202118:50","3.7",
"01/12/202119:00","3.7",
"01/12/202119:10","3.7",
"01/12/202119:20","3.7",
"01/12/202119:30","3.7",
"01/12/202119:40","3.5",
"01/12/202119:50","3.2",
"01/12/202120:00","3.1",
"01/12/202120:10","3.1",
"01/12/202120:20","3.3",
"01/12/202120:30","3.3",
"01/12/202120:40","3.3",
"01/12/202120:50","3.3",
"01/12/202121:00","3.4",
"01/12/202121:10","3.2",
"01/12/202121:20","3.2",
"01/12/202121:30","3.3",
"01/12/202121:40","3.3",
"01/12/202121:50","3.3",
"01/12/202122:00","3.3",
"01/12/202122:10","3.3",
"01/12/202122:20","3.4",
"01/12/202122:30","3.6",
"01/12/202122:40","3.6",
"01/12/202122:50","3.7",
"01/12/202123:00","3.7",
"01/12/202123:10","3.8",
"01/12/202123:20","3.8",
"01/12/202123:30","3.8",
"01/12/202123:40","3.8",
"01/12/202123:50","3.7",
"02/12/20210:00","3.4",
"02/12/20210:10","3.1",
"02/12/20210:20","2.9",
"02/12/20210:30","2.9",
"02/12/20210:40","2.8",
"02/12/20210:50","2.8",
"02/12/20211:00","2.9",
"02/12/20211:10","2.8",
"02/12/20211:20","2.7",
"02/12/20211:30","2.7",
"02/12/20211:40","2.8",
"02/12/20211:50","2.9",
"02/12/20212:00","2.6",
"02/12/20212:10","2.1",
"02/12/20212:20","1.9",
"02/12/20212:30","1.8",
"02/12/20212:40","1.7",
"02/12/20212:50","1.7",
"02/12/20213:00","1.6",
"02/12/20213:10","1.6",
"02/12/20213:20","1.6",
"02/12/20213:30","1.7",
"02/12/20213:40","1.7",
"02/12/20213:50","1.7",
"02/12/20214:00","1.7",
"02/12/20214:10","1.7",
"02/12/20214:20","1.7",
"02/12/20214:30","1.7",
"02/12/20214:40","1.8",
"02/12/20214:50","1.8",
"02/12/20215:00","1.7",
"02/12/20215:10","1.6",
"02/12/20215:20","1.6",
"02/12/20215:30","1.7",
"02/12/20215:40","1.7",
"02/12/20215:50","1.7",
"02/12/20216:00","1.8",
"02/12/20216:10","1.6",
"02/12/20216:20","1.5",
"02/12/20216:30","1.1",
"02/12/20216:40","0.8",
"02/12/20216:50","0.8",
"02/12/20217:00","1.1",
"02/12/20217:10","1.4",
"02/12/20217:20","1.9",
"02/12/20217:30","2.1",
"02/12/20217:40","2.2",
"02/12/20217:50","2.2",
"02/12/20218:00","2.1",
"02/12/20218:10","2.3",
"02/12/20218:20","2.5",
"02/12/20218:30","2.5",
"02/12/20218:40","2.5",
"02/12/20218:50","2.7",
"02/12/20219:00","2.9",
"02/12/20219:10","2.9",
"02/12/20219:20","2.7",
"02/12/20219:30","2.7",
"02/12/20219:40","2.7",
"02/12/20219:50","2.8",
"02/12/202110:00","2.8",
