98%">"FECHA","TEMPERATURA",
"","  C",
"01/08/20220:00","17.5",
"01/08/20220:10","17.2",
"01/08/20220:20","16.4",
"01/08/20220:30","16.0",
"01/08/20220:40","15.7",
"01/08/20220:50","15.4",
"01/08/20221:00","15.1",
"01/08/20221:10","14.8",
"01/08/20221:20","14.5",
"01/08/20221:30","14.7",
"01/08/20221:40","14.6",
"01/08/20221:50","14.2",
"01/08/20222:00","14.1",
"01/08/20222:10","14.1",
"01/08/20222:20","14.5",
"01/08/20222:30","14.6",
"01/08/20222:40","14.4",
"01/08/20222:50","14.1",
"01/08/20223:00","14.0",
"01/08/20223:10","13.8",
"01/08/20223:20","13.7",
"01/08/20223:30","13.4",
"01/08/20223:40","13.4",
"01/08/20223:50","13.5",
"01/08/20224:00","13.4",
"01/08/20224:10","12.9",
"01/08/20224:20","13.1",
"01/08/20224:30","12.9",
"01/08/20224:40","12.7",
"01/08/20224:50","12.5",
"01/08/20225:00","12.5",
"01/08/20225:10","12.9",
"01/08/20225:20","13.5",
"01/08/20225:30","14.1",
"01/08/20225:40","14.4",
"01/08/20225:50","14.8",
"01/08/20226:00","15.0",
"01/08/20226:10","15.2",
"01/08/20226:20","15.6",
"01/08/20226:30","15.9",
"01/08/20226:40","16.0",
"01/08/20226:50","16.3",
"01/08/20227:00","16.9",
"01/08/20227:10","17.7",
"01/08/20227:20","18.2",
"01/08/20227:30","18.7",
"01/08/20227:40","19.2",
"01/08/20227:50","19.7",
"01/08/20228:00","20.4",
"01/08/20228:10","20.6",
"01/08/20228:20","20.9",
"01/08/20228:30","21.0",
"01/08/20228:40","21.4",
"01/08/20228:50","22.1",
"01/08/20229:00","22.6",
"01/08/20229:10","22.4",
"01/08/20229:20","22.7",
"01/08/20229:30","23.0",
"01/08/20229:40","23.6",
"01/08/20229:50","24.2",
"01/08/202210:00","24.3",
"01/08/202210:10","24.9",
"01/08/202210:20","25.6",
"01/08/202210:30","26.1",
"01/08/202210:40","25.8",
"01/08/202210:50","26.6",
"01/08/202211:00","27.0",
"01/08/202211:10","27.3",
"01/08/202211:20","27.5",
"01/08/202211:30","28.2",
"01/08/202211:40","28.8",
"01/08/202211:50","28.6",
"01/08/202212:00","29.1",
"01/08/202212:10","29.4",
"01/08/202212:20","29.7",
"01/08/202212:30","29.7",
"01/08/202212:40","29.7",
"01/08/202212:50","29.9",
"01/08/202213:00","30.0",
"01/08/202213:10","29.9",
"01/08/202213:20","30.2",
"01/08/202213:30","30.1",
"01/08/202213:40","30.3",
"01/08/202213:50","30.1",
"01/08/202214:00","30.2",
"01/08/202214:10","30.4",
"01/08/202214:20","30.3",
"01/08/202214:30","30.5",
"01/08/202214:40","30.6",
"01/08/202214:50","30.5",
"01/08/202215:00","30.7",
"01/08/202215:10","30.7",
"01/08/202215:20","30.7",
