DateTime,DegreeCelsius
2022-07-15 00:00:00,23.1
2022-07-15 00:10:00,23.0
2022-07-15 00:20:00,22.4
2022-07-15 00:30:00,21.6
2022-07-15 00:40:00,20.4
2022-07-15 00:50:00,19.7
2022-07-15 01:00:00,19.2
2022-07-15 01:10:00,19.1
2022-07-15 01:20:00,18.9
2022-07-15 01:30:00,18.5
2022-07-15 01:40:00,17.9
2022-07-15 01:50:00,17.5
2022-07-15 02:00:00,17.6
2022-07-15 02:10:00,17.8
2022-07-15 02:20:00,17.9
2022-07-15 02:30:00,18.4
2022-07-15 02:40:00,17.8
2022-07-15 02:50:00,17.1
2022-07-15 03:00:00,16.9
2022-07-15 03:10:00,17.7
2022-07-15 03:20:00,18.7
2022-07-15 03:30:00,18.5
2022-07-15 03:40:00,17.7
2022-07-15 03:50:00,17.4
2022-07-15 04:00:00,17.0
2022-07-15 04:10:00,16.6
2022-07-15 04:20:00,16.2
2022-07-15 04:30:00,15.7
2022-07-15 04:40:00,15.3
2022-07-15 04:50:00,14.9
2022-07-15 05:00:00,14.9
2022-07-15 05:10:00,15.1
2022-07-15 05:20:00,14.9
2022-07-15 05:30:00,15.0
2022-07-15 05:40:00,15.1
2022-07-15 05:50:00,14.9
2022-07-15 06:00:00,14.5
2022-07-15 06:10:00,14.6
2022-07-15 06:20:00,14.5
2022-07-15 06:30:00,14.2
2022-07-15 06:40:00,14.4
2022-07-15 06:50:00,14.1
2022-07-15 07:00:00,14.0
2022-07-15 07:10:00,14.0
2022-07-15 07:20:00,14.3
2022-07-15 07:30:00,15.5
2022-07-15 07:40:00,16.2
2022-07-15 07:50:00,16.7
2022-07-15 08:00:00,17.4
2022-07-15 08:10:00,18.0
2022-07-15 08:20:00,19.1
2022-07-15 08:30:00,20.1
2022-07-15 08:40:00,20.9
2022-07-15 08:50:00,21.3
2022-07-15 09:00:00,22.1
2022-07-15 09:10:00,22.3
2022-07-15 09:20:00,22.6
2022-07-15 09:30:00,23.0
2022-07-15 09:40:00,23.3
2022-07-15 09:50:00,23.5
2022-07-15 10:00:00,24.0
2022-07-15 10:10:00,24.3
2022-07-15 10:20:00,24.2
2022-07-15 10:30:00,24.4
2022-07-15 10:40:00,25.1
2022-07-15 10:50:00,25.8
2022-07-15 11:00:00,25.8
2022-07-15 11:10:00,26.3
2022-07-15 11:20:00,26.7
2022-07-15 11:30:00,27.4
2022-07-15 11:40:00,28.0
2022-07-15 11:50:00,28.8
2022-07-15 12:00:00,29.4
2022-07-15 12:10:00,29.6
2022-07-15 12:20:00,30.2
2022-07-15 12:30:00,31.0
2022-07-15 12:40:00,31.6
2022-07-15 12:50:00,31.7
2022-07-15 13:00:00,32.0
2022-07-15 13:10:00,32.1
2022-07-15 13:20:00,32.5
2022-07-15 13:30:00,32.6
2022-07-15 13:40:00,32.9
2022-07-15 13:50:00,33.4
2022-07-15 14:00:00,33.4
2022-07-15 14:10:00,33.9
2022-07-15 14:20:00,34.1
2022-07-15 14:30:00,34.4
2022-07-15 14:40:00,34.3
2022-07-15 14:50:00,34.5
2022-07-15 15:00:00,34.9
2022-07-15 15:10:00,35.1
2022-07-15 15:20:00,35.2
2022-07-15 15:30:00,35.2
2022-07-15 15:40:00,35.2
2022-07-15 15:50:00,35.2
2022-07-15 16:00:00,35.0
2022-07-15 16:10:00,35.1
2022-07-15 16:20:00,35.1
2022-07-15 16:30:00,34.9
2022-07-15 16:40:00,35.2
2022-07-15 16:50:00,35.4
2022-07-15 17:00:00,35.3
2022-07-15 17:10:00,35.1
2022-07-15 17:20:00,34.9
2022-07-15 17:30:00,35.0
2022-07-15 17:40:00,34.8
2022-07-15 17:50:00,34.8
2022-07-15 18:00:00,34.5
2022-07-15 18:10:00,34.2
2022-07-15 18:20:00,34.0
2022-07-15 18:30:00,34.1
2022-07-15 18:40:00,34.1
2022-07-15 18:50:00,33.9
2022-07-15 19:00:00,33.6
2022-07-15 19:10:00,33.4
2022-07-15 19:20:00,33.2
2022-07-15 19:30:00,33.0
2022-07-15 19:40:00,32.9
2022-07-15 19:50:00,32.4
2022-07-15 20:00:00,31.8
2022-07-15 20:10:00,31.5
2022-07-15 20:20:00,31.1
2022-07-15 20:30:00,30.7
2022-07-15 20:40:00,30.3
2022-07-15 20:50:00,29.9
2022-07-15 21:00:00,29.5
2022-07-15 21:10:00,29.1
2022-07-15 21:20:00,28.6
2022-07-15 21:30:00,28.2
2022-07-15 21:40:00,27.9
2022-07-15 21:50:00,27.6
2022-07-15 22:00:00,27.3
2022-07-15 22:10:00,27.0
2022-07-15 22:20:00,26.9
2022-07-15 22:30:00,26.5
2022-07-15 22:40:00,26.2
2022-07-15 22:50:00,25.2
2022-07-15 23:00:00,25.0
2022-07-15 23:10:00,24.8
2022-07-15 23:20:00,24.0
2022-07-15 23:30:00,22.6
2022-07-15 23:40:00,21.9
2022-07-15 23:50:00,21.5
