98%">"FECHA","TEMPERATURA",
"","  C",
"01/02/20220:00","4.7",
"01/02/20220:10","4.7",
"01/02/20220:20","4.8",
"01/02/20220:30","4.9",
"01/02/20220:40","4.8",
"01/02/20220:50","4.7",
"01/02/20221:00","4.8",
"01/02/20221:10","4.8",
"01/02/20221:20","4.8",
"01/02/20221:30","4.6",
"01/02/20221:40","4.7",
"01/02/20221:50","4.8",
"01/02/20222:00","4.8",
"01/02/20222:10","4.6",
"01/02/20222:20","4.6",
"01/02/20222:30","4.4",
"01/02/20222:40","4.4",
"01/02/20222:50","4.4",
"01/02/20223:00","4.3",
"01/02/20223:10","4.1",
"01/02/20223:20","4.0",
"01/02/20223:30","3.9",
"01/02/20223:40","3.8",
"01/02/20223:50","3.6",
"01/02/20224:00","3.9",
"01/02/20224:10","4.0",
"01/02/20224:20","4.2",
"01/02/20224:30","4.0",
"01/02/20224:40","3.8",
"01/02/20224:50","3.7",
"01/02/20225:00","3.5",
"01/02/20225:10","3.4",
"01/02/20225:20","3.4",
"01/02/20225:30","3.4",
"01/02/20225:40","3.6",
"01/02/20225:50","3.8",
"01/02/20226:00","3.8",
"01/02/20226:10","3.9",
"01/02/20226:20","3.8",
"01/02/20226:30","3.7",
"01/02/20226:40","3.6",
"01/02/20226:50","3.5",
"01/02/20227:00","3.4",
"01/02/20227:10","3.3",
"01/02/20227:20","3.3",
"01/02/20227:30","3.4",
"01/02/20227:40","3.5",
"01/02/20227:50","3.6",
"01/02/20228:00","3.7",
"01/02/20228:10","3.7",
"01/02/20228:20","3.8",
"01/02/20228:30","3.8",
"01/02/20228:40","3.9",
"01/02/20228:50","4.0",
"01/02/20229:00","4.0",
"01/02/20229:10","4.1",
"01/02/20229:20","4.3",
"01/02/20229:30","4.6",
"01/02/20229:40","4.6",
"01/02/20229:50","4.8",
"01/02/202210:00","4.8",
"01/02/202210:10","5.1",
"01/02/202210:20","5.1",
"01/02/202210:30","5.3",
"01/02/202210:40","5.3",
"01/02/202210:50","5.7",
"01/02/202211:00","5.8",
"01/02/202211:10","5.9",
"01/02/202211:20","5.8",
"01/02/202211:30","5.8",
"01/02/202211:40","5.7",
"01/02/202211:50","5.8",
