98%">"FECHA","TEMPERATURA",
"","  C",
"01/07/20220:00","7.3",
"01/07/20220:10","6.9",
"01/07/20220:20","6.6",
"01/07/20220:30","6.7",
"01/07/20220:40","6.3",
"01/07/20220:50","6.4",
"01/07/20221:00","5.7",
"01/07/20221:10","5.8",
"01/07/20221:20","5.8",
"01/07/20221:30","5.9",
"01/07/20221:40","5.7",
"01/07/20221:50","5.9",
"01/07/20222:00","5.4",
"01/07/20222:10","5.7",
"01/07/20222:20","5.4",
"01/07/20222:30","5.1",
"01/07/20222:40","5.0",
"01/07/20222:50","4.8",
"01/07/20223:00","4.7",
"01/07/20223:10","5.3",
"01/07/20223:20","5.2",
"01/07/20223:30","4.8",
"01/07/20223:40","4.8",
"01/07/20223:50","4.4",
"01/07/20224:00","4.6",
"01/07/20224:10","4.2",
"01/07/20224:20","3.8",
"01/07/20224:30","3.7",
"01/07/20224:40","4.4",
"01/07/20224:50","5.4",
"01/07/20225:00","5.9",
"01/07/20225:10","5.8",
"01/07/20225:20","6.3",
"01/07/20225:30","7.2",
"01/07/20225:40","8.1",
"01/07/20225:50","9.0",
"01/07/20226:00","9.6",
"01/07/20226:10","9.9",
"01/07/20226:20","10.1",
"01/07/20226:30","11.0",
"01/07/20226:40","11.8",
"01/07/20226:50","12.2",
"01/07/20227:00","12.7",
"01/07/20227:10","12.7",
"01/07/20227:20","13.1",
"01/07/20227:30","13.6",
"01/07/20227:40","13.9",
"01/07/20227:50","14.3",
"01/07/20228:00","14.5",
"01/07/20228:10","14.7",
"01/07/20228:20","15.1",
"01/07/20228:30","15.6",
"01/07/20228:40","15.9",
"01/07/20228:50","16.0",
"01/07/20229:00","16.0",
"01/07/20229:10","16.3",
"01/07/20229:20","16.8",
"01/07/20229:30","16.9",
"01/07/20229:40","17.2",
"01/07/20229:50","17.4",
"01/07/202210:00","17.8",
"01/07/202210:10","18.2",
"01/07/202210:20","18.6",
"01/07/202210:30","18.8",
"01/07/202210:40","19.2",
"01/07/202210:50","19.4",
"01/07/202211:00","19.5",
"01/07/202211:10","19.7",
"01/07/202211:20","19.9",
"01/07/202211:30","20.1",
"01/07/202211:40","20.2",
"01/07/202211:50","20.6",
"01/07/202212:00","20.8",
"01/07/202212:10","20.8",
"01/07/202212:20","21.3",
"01/07/202212:30","21.4",
"01/07/202212:40","21.8",
"01/07/202212:50","21.9",
"01/07/202213:00","22.5",
"01/07/202213:10","22.4",
"01/07/202213:20","22.8",
"01/07/202213:30","23.4",
"01/07/202213:40","23.6",
"01/07/202213:50","23.9",
"01/07/202214:00","23.8",
"01/07/202214:10","24.0",
"01/07/202214:20","24.2",
"01/07/202214:30","24.4",
"01/07/202214:40","24.8",
"01/07/202214:50","24.9",
"01/07/202215:00","24.7",
"01/07/202215:10","25.3",
"01/07/202215:20","25.1",
"01/07/202215:30","25.3",
"01/07/202215:40","25.0",
"01/07/202215:50","25.2",
"01/07/202216:00","25.0",
"01/07/202216:10","25.1",
"01/07/202216:20","24.8",
"01/07/202216:30","24.3",
"01/07/202216:40","24.6",
"01/07/202216:50","24.1",
"01/07/202217:00","23.8",
"01/07/202217:10","23.8",
"01/07/202217:20","23.6",
"01/07/202217:30","23.5",
"01/07/202217:40","23.3",
"01/07/202217:50","22.9",
"01/07/202218:00","22.5",
"01/07/202218:10","22.4",
"01/07/202218:20","22.2",
"01/07/202218:30","22.0",
"01/07/202218:40","21.8",
"01/07/202218:50","21.4",
"01/07/202219:00","21.2",
"01/07/202219:10","21.0",
"01/07/202219:20","20.6",
"01/07/202219:30","20.3",
"01/07/202219:40","19.8",
"01/07/202219:50","19.4",
"01/07/202220:00","19.1",
"01/07/202220:10","19.0",
"01/07/202220:20","18.3",
"01/07/202220:30","17.3",
"01/07/202220:40","16.3",
"01/07/202220:50","15.4",
"01/07/202221:00","15.7",
"01/07/202221:10","15.5",
"01/07/202221:20","15.9",
"01/07/202221:30","16.0",
"01/07/202221:40","15.9",
"01/07/202221:50","15.7",
"01/07/202222:00","15.0",
"01/07/202222:10","14.5",
"01/07/202222:20","14.1",
"01/07/202222:30","13.9",
"01/07/202222:40","13.7",
"01/07/202222:50","13.4",
"01/07/202223:00","13.1",
"01/07/202223:10","12.6",
"01/07/202223:20","12.2",
"01/07/202223:30","12.1",
"01/07/202223:40","13.4",
"01/07/202223:50","13.6",
"02/07/20220:00","13.4",
"02/07/20220:10","12.9",
"02/07/20220:20","12.7",
"02/07/20220:30","12.2",
"02/07/20220:40","12.0",
"02/07/20220:50","12.1",
"02/07/20221:00","12.0",
"02/07/20221:10","11.9",
"02/07/20221:20","11.3",
"02/07/20221:30","11.5",
"02/07/20221:40","12.1",
"02/07/20221:50","12.0",
"02/07/20222:00","11.5",
"02/07/20222:10","10.9",
"02/07/20222:20","10.7",
"02/07/20222:30","10.4",
"02/07/20222:40","10.3",
"02/07/20222:50","10.6",
"02/07/20223:00","10.6",
"02/07/20223:10","10.7",
"02/07/20223:20","10.5",
"02/07/20223:30","10.0",
"02/07/20223:40","9.7",
"02/07/20223:50","9.5",
"02/07/20224:00","9.5",
"02/07/20224:10","9.4",
"02/07/20224:20","9.4",
"02/07/20224:30","9.7",
"02/07/20224:40","9.7",
"02/07/20224:50","9.4",
"02/07/20225:00","9.1",
"02/07/20225:10","9.2",
"02/07/20225:20","9.8",
"02/07/20225:30","10.9",
"02/07/20225:40","12.0",
"02/07/20225:50","12.9",
"02/07/20226:00","13.7",
"02/07/20226:10","14.2",
"02/07/20226:20","14.5",
"02/07/20226:30","14.8",
"02/07/20226:40","15.0",
"02/07/20226:50","15.6",
"02/07/20227:00","15.9",
"02/07/20227:10","16.4",
"02/07/20227:20","16.9",
"02/07/20227:30","17.4",
"02/07/20227:40","18.0",
"02/07/20227:50","18.6",
"02/07/20228:00","19.1",
"02/07/20228:10","19.4",
"02/07/20228:20","19.6",
"02/07/20228:30","20.4",
"02/07/20228:40","20.9",
"02/07/20228:50","21.5",
"02/07/20229:00","22.0",
"02/07/20229:10","22.7",
"02/07/20229:20","23.6",
"02/07/20229:30","23.9",
"02/07/20229:40","24.1",
"02/07/20229:50","24.3",
"02/07/202210:00","24.6",
"02/07/202210:10","25.0",
"02/07/202210:20","25.9",
"02/07/202210:30","26.3",
"02/07/202210:40","26.5",
"02/07/202210:50","27.2",
"02/07/202211:00","27.6",
"02/07/202211:10","28.0",
"02/07/202211:20","28.3",
"02/07/202211:30","28.6",
"02/07/202211:40","29.4",
"02/07/202211:50","29.6",
"02/07/202212:00","29.9",
"02/07/202212:10","29.9",
"02/07/202212:20","30.3",
"02/07/202212:30","30.5",
"02/07/202212:40","31.0",
"02/07/202212:50","30.9",
"02/07/202213:00","31.1",
"02/07/202213:10","31.5",
"02/07/202213:20","31.6",
"02/07/202213:30","31.9",
"02/07/202213:40","32.1",
"02/07/202213:50","32.3",
"02/07/202214:00","32.6",
"02/07/202214:10","32.8",
"02/07/202214:20","32.9",
"02/07/202214:30","32.9",
"02/07/202214:40","33.3",
"02/07/202214:50","33.4",
"02/07/202215:00","33.6",
"02/07/202215:10","33.4",
"02/07/202215:20","33.4",
"02/07/202215:30","33.7",
"02/07/202215:40","33.4",
"02/07/202215:50","32.8",
"02/07/202216:00","32.1",
"02/07/202216:10","31.5",
"02/07/202216:20","31.1",
"02/07/202216:30","30.6",
"02/07/202216:40","30.2",
"02/07/202216:50","29.9",
"02/07/202217:00","29.5",
"02/07/202217:10","29.0",
"02/07/202217:20","28.6",
"02/07/202217:30","28.2",
"02/07/202217:40","27.8",
"02/07/202217:50","27.6",
"02/07/202218:00","27.2",
"02/07/202218:10","26.9",
"02/07/202218:20","26.6",
"02/07/202218:30","26.0",
"02/07/202218:40","25.6",
"02/07/202218:50","25.0",
"02/07/202219:00","24.4",
"02/07/202219:10","24.2",
"02/07/202219:20","24.0",
"02/07/202219:30","23.5",
"02/07/202219:40","23.0",
"02/07/202219:50","22.6",
"02/07/202220:00","22.0",
"02/07/202220:10","21.6",
"02/07/202220:20","21.1",
"02/07/202220:30","20.8",
"02/07/202220:40","20.2",
"02/07/202220:50","19.6",
"02/07/202221:00","19.4",
"02/07/202221:10","19.3",
"02/07/202221:20","19.1",
"02/07/202221:30","18.7",
