98%">"FECHA","TEMPERATURA",
"","  C",
"01/03/20220:00","1.8",
"01/03/20220:10","1.4",
"01/03/20220:20","1.2",
"01/03/20220:30","1.3",
"01/03/20220:40","0.9",
"01/03/20220:50","0.8",
"01/03/20221:00","0.8",
"01/03/20221:10","0.9",
"01/03/20221:20","1.0",
"01/03/20221:30","0.6",
"01/03/20221:40","0.1",
"01/03/20221:50","0.0",
"01/03/20222:00","0.1",
"01/03/20222:10","0.8",
"01/03/20222:20","-0.2",
"01/03/20222:30","-0.5",
"01/03/20222:40","-0.3",
"01/03/20222:50","-0.1",
"01/03/20223:00","-0.5",
"01/03/20223:10","-0.6",
"01/03/20223:20","-0.8",
"01/03/20223:30","-1.0",
"01/03/20223:40","-0.8",
"01/03/20223:50","-1.3",
"01/03/20224:00","-0.8",
"01/03/20224:10","-1.2",
"01/03/20224:20","-1.2",
"01/03/20224:30","-1.6",
"01/03/20224:40","-1.5",
"01/03/20224:50","-1.9",
"01/03/20225:00","-1.9",
"01/03/20225:10","-1.9",
"01/03/20225:20","-1.5",
"01/03/20225:30","-1.9",
"01/03/20225:40","-2.1",
"01/03/20225:50","-1.9",
"01/03/20226:00","-1.6",
"01/03/20226:10","-2.1",
"01/03/20226:20","-2.3",
"01/03/20226:30","-2.5",
"01/03/20226:40","-2.5",
"01/03/20226:50","-2.2",
"01/03/20227:00","-2.1",
"01/03/20227:10","-2.0",
"01/03/20227:20","-1.6",
"01/03/20227:30","-0.9",
"01/03/20227:40","-0.1",
"01/03/20227:50","0.4",
"01/03/20228:00","1.4",
"01/03/20228:10","1.6",
"01/03/20228:20","1.7",
"01/03/20228:30","2.1",
"01/03/20228:40","2.6",
"01/03/20228:50","3.4",
"01/03/20229:00","4.5",
"01/03/20229:10","4.7",
"01/03/20229:20","4.7",
"01/03/20229:30","5.5",
"01/03/20229:40","6.3",
"01/03/20229:50","6.7",
"01/03/202210:00","6.9",
"01/03/202210:10","7.5",
"01/03/202210:20","9.0",
"01/03/202210:30","9.6",
"01/03/202210:40","9.5",
"01/03/202210:50","10.0",
"01/03/202211:00","10.5",
"01/03/202211:10","10.7",
"01/03/202211:20","11.7",
"01/03/202211:30","13.0",
"01/03/202211:40","13.2",
"01/03/202211:50","13.8",
"01/03/202212:00","14.1",
"01/03/202212:10","14.3",
"01/03/202212:20","14.6",
"01/03/202212:30","15.2",
"01/03/202212:40","15.4",
"01/03/202212:50","15.7",
"01/03/202213:00","15.7",
"01/03/202213:10","15.7",
"01/03/202213:20","16.0",
"01/03/202213:30","16.4",
"01/03/202213:40","16.5",
"01/03/202213:50","16.4",
"01/03/202214:00","16.4",
"01/03/202214:10","16.6",
"01/03/202214:20","16.6",
"01/03/202214:30","16.5",
"01/03/202214:40","16.4",
"01/03/202214:50","16.3",
"01/03/202215:00","16.3",
"01/03/202215:10","16.0",
"01/03/202215:20","15.7",
"01/03/202215:30","15.6",
"01/03/202215:40","15.4",
"01/03/202215:50","15.3",
"01/03/202216:00","15.3",
"01/03/202216:10","15.4",
"01/03/202216:20","15.3",
"01/03/202216:30","15.2",
"01/03/202216:40","15.1",
"01/03/202216:50","15.1",
"01/03/202217:00","15.0",
"01/03/202217:10","14.9",
"01/03/202217:20","14.7",
"01/03/202217:30","14.6",
"01/03/202217:40","14.3",
"01/03/202217:50","14.1",
"01/03/202218:00","13.8",
"01/03/202218:10","13.6",
"01/03/202218:20","13.6",
"01/03/202218:30","13.4",
"01/03/202218:40","13.2",
"01/03/202218:50","13.0",
"01/03/202219:00","12.4",
"01/03/202219:10","12.4",
"01/03/202219:20","12.6",
"01/03/202219:30","12.3",
"01/03/202219:40","12.0",
"01/03/202219:50","11.4",
"01/03/202220:00","10.9",
"01/03/202220:10","10.2",
"01/03/202220:20","9.7",
"01/03/202220:30","9.8",
"01/03/202220:40","9.5",
"01/03/202220:50","9.3",
"01/03/202221:00","9.1",
"01/03/202221:10","9.6",
"01/03/202221:20","9.2",
"01/03/202221:30","8.8",
"01/03/202221:40","8.0",
"01/03/202221:50","7.1",
"01/03/202222:00","6.5",
"01/03/202222:10","6.4",
"01/03/202222:20","6.8",
"01/03/202222:30","7.0",
"01/03/202222:40","6.8",
"01/03/202222:50","6.8",
"01/03/202223:00","6.6",
"01/03/202223:10","6.7",
"01/03/202223:20","6.8",
"01/03/202223:30","6.7",
"01/03/202223:40","6.9",
"01/03/202223:50","7.3",
"02/03/20220:00","7.5",
"02/03/20220:10","7.3",
"02/03/20220:20","7.1",
"02/03/20220:30","7.1",
"02/03/20220:40","7.0",
"02/03/20220:50","6.8",
"02/03/20221:00","6.9",
"02/03/20221:10","7.1",
"02/03/20221:20","6.9",
"02/03/20221:30","6.7",
"02/03/20221:40","6.9",
"02/03/20221:50","7.0",
"02/03/20222:00","6.9",
"02/03/20222:10","7.0",
"02/03/20222:20","7.0",
"02/03/20222:30","6.9",
"02/03/20222:40","6.9",
"02/03/20222:50","7.0",
"02/03/20223:00","7.3",
"02/03/20223:10","7.5",
"02/03/20223:20","7.3",
"02/03/20223:30","6.9",
"02/03/20223:40","6.6",
"02/03/20223:50","7.0",
"02/03/20224:00","7.1",
"02/03/20224:10","7.0",
"02/03/20224:20","7.0",
"02/03/20224:30","6.8",
"02/03/20224:40","6.9",
"02/03/20224:50","7.0",
"02/03/20225:00","7.1",
"02/03/20225:10","7.1",
"02/03/20225:20","6.6",
"02/03/20225:30","6.5",
"02/03/20225:40","6.5",
"02/03/20225:50","6.0",
"02/03/20226:00","5.8",
"02/03/20226:10","6.0",
"02/03/20226:20","6.6",
"02/03/20226:30","6.9",
"02/03/20226:40","7.1",
"02/03/20226:50","7.4",
"02/03/20227:00","7.4",
"02/03/20227:10","7.5",
"02/03/20227:20","7.5",
"02/03/20227:30","7.2",
"02/03/20227:40","7.1",
"02/03/20227:50","7.0",
"02/03/20228:00","7.2",
"02/03/20228:10","7.2",
"02/03/20228:20","7.2",
"02/03/20228:30","7.2",
"02/03/20228:40","7.3",
"02/03/20228:50","7.4",
"02/03/20229:00","7.3",
"02/03/20229:10","7.5",
"02/03/20229:20","7.7",
"02/03/20229:30","8.1",
"02/03/20229:40","8.4",
"02/03/20229:50","8.8",
"02/03/202210:00","8.8",
"02/03/202210:10","8.8",
"02/03/202210:20","8.8",
"02/03/202210:30","9.0",
"02/03/202210:40","9.2",
"02/03/202210:50","9.5",
"02/03/202211:00","9.9",
"02/03/202211:10","9.8",
"02/03/202211:20","9.8",
"02/03/202211:30","10.0",
"02/03/202211:40","10.6",
"02/03/202211:50","11.1",
"02/03/202212:00","11.1",
"02/03/202212:10","11.1",
"02/03/202212:20","11.0",
"02/03/202212:30","10.8",
"02/03/202212:40","11.0",
"02/03/202212:50","11.0",
"02/03/202213:00","11.4",
"02/03/202213:10","11.5",
"02/03/202213:20","11.3",
"02/03/202213:30","11.4",
"02/03/202213:40","11.3",
"02/03/202213:50","11.2",
"02/03/202214:00","11.1",
"02/03/202214:10","10.2",
"02/03/202214:20","8.5",
"02/03/202214:30","7.9",
"02/03/202214:40","7.7",
"02/03/202214:50","7.6",
"02/03/202215:00","7.9",
"02/03/202215:10","8.2",
"02/03/202215:20","8.2",
"02/03/202215:30","8.2",
"02/03/202215:40","8.6",
"02/03/202215:50","9.2",
"02/03/202216:00","9.6",
"02/03/202216:10","9.7",
"02/03/202216:20","9.2",
"02/03/202216:30","9.1",
"02/03/202216:40","9.4",
"02/03/202216:50","9.8",
"02/03/202217:00","10.0",
"02/03/202217:10","9.9",
"02/03/202217:20","9.9",
"02/03/202217:30","9.6",
"02/03/202217:40","9.2",
"02/03/202217:50","9.1",
"02/03/202218:00","9.1",
"02/03/202218:10","9.0",
"02/03/202218:20","8.8",
"02/03/202218:30","8.8",
"02/03/202218:40","8.7",
"02/03/202218:50","8.4",
"02/03/202219:00","8.3",
"02/03/202219:10","8.2",
"02/03/202219:20","8.3",
"02/03/202219:30","7.9",
"02/03/202219:40","7.6",
"02/03/202219:50","7.7",
"02/03/202220:00","7.6",
"02/03/202220:10","7.6",
"02/03/202220:20","7.5",
"02/03/202220:30","7.2",
"02/03/202220:40","7.0",
"02/03/202220:50","6.8",
"02/03/202221:00","6.8",
"02/03/202221:10","6.5",
"02/03/202221:20","5.9",
"02/03/202221:30","6.0",
"02/03/202221:40","6.3",
"02/03/202221:50","6.6",
"02/03/202222:00","6.9",
"02/03/202222:10","6.9",
"02/03/202222:20","6.8",
"02/03/202222:30","6.9",
"02/03/202222:40","6.9",
"02/03/202222:50","6.8",
"02/03/202223:00","6.8",
"02/03/202223:10","6.6",
"02/03/202223:20","6.7",
"02/03/202223:30","6.5",
"02/03/202223:40","6.0",
"02/03/202223:50","5.5",
"03/03/20220:00","4.7",
"03/03/20220:10","4.4",
"03/03/20220:20","3.8",
"03/03/20220:30","4.2",
"03/03/20220:40","4.1",
"03/03/20220:50","3.8",
"03/03/20221:00","3.3",
"03/03/20221:10","3.1",
"03/03/20221:20","3.1",
"03/03/20221:30","3.1",
"03/03/20221:40","3.2",
"03/03/20221:50","2.5",
"03/03/20222:00","2.6",
"03/03/20222:10","2.0",
"03/03/20222:20","2.3",
"03/03/20222:30","2.4",
"03/03/20222:40","2.1",
"03/03/20222:50","2.0",
"03/03/20223:00","2.1",
"03/03/20223:10","2.5",
"03/03/20223:20","1.9",
"03/03/20223:30","1.6",
"03/03/20223:40","1.4",
"03/03/20223:50","1.2",
"03/03/20224:00","1.0",
"03/03/20224:10","1.2",
"03/03/20224:20","0.9",
"03/03/20224:30","0.5",
"03/03/20224:40","0.4",
"03/03/20224:50","0.7",
"03/03/20225:00","0.8",
"03/03/20225:10","0.3",
"03/03/20225:20","0.4",
"03/03/20225:30","0.3",
"03/03/20225:40","0.7",
"03/03/20225:50","1.0",
"03/03/20226:00","0.9",
"03/03/20226:10","1.4",
"03/03/20226:20","1.4",
"03/03/20226:30","1.4",
"03/03/20226:40","1.5",
"03/03/20226:50","1.4",
"03/03/20227:00","1.4",
"03/03/20227:10","1.4",
"03/03/20227:20","1.6",
"03/03/20227:30","1.7",
"03/03/20227:40","1.9",
"03/03/20227:50","2.0",
"03/03/20228:00","2.2",
"03/03/20228:10","2.4",
"03/03/20228:20","2.7",
"03/03/20228:30","3.0",
"03/03/20228:40","3.4",
"03/03/20228:50","3.6",
"03/03/20229:00","4.1",
"03/03/20229:10","4.1",
"03/03/20229:20","4.2",
"03/03/20229:30","4.5",
"03/03/20229:40","4.7",
"03/03/20229:50","5.1",
"03/03/202210:00","5.4",
"03/03/202210:10","5.9",
"03/03/202210:20","6.4",
"03/03/202210:30","7.0",
"03/03/202210:40","7.5",
"03/03/202210:50","8.1",
"03/03/202211:00","8.5",
"03/03/202211:10","8.8",
"03/03/202211:20","9.2",
"03/03/202211:30","9.4",
"03/03/202211:40","9.5",
"03/03/202211:50","9.9",
"03/03/202212:00","10.1",
"03/03/202212:10","10.0",
"03/03/202212:20","10.2",
"03/03/202212:30","10.2",
"03/03/202212:40","10.1",
"03/03/202212:50","10.1",
"03/03/202213:00","10.0",
"03/03/202213:10","9.9",
"03/03/202213:20","9.8",
"03/03/202213:30","9.8",
"03/03/202213:40","9.1",
"03/03/202213:50","8.7",
"03/03/202214:00","8.3",
"03/03/202214:10","8.2",
"03/03/202214:20","8.2",
"03/03/202214:30","8.0",
"03/03/202214:40","8.1",
"03/03/202214:50","8.1",
"03/03/202215:00","8.0",
"03/03/202215:10","8.1",
"03/03/202215:20","8.0",
"03/03/202215:30","8.0",
"03/03/202215:40","7.9",
"03/03/202215:50","7.9",
"03/03/202216:00","7.9",
"03/03/202216:10","7.9",
"03/03/202216:20","7.8",
"03/03/202216:30","7.8",
"03/03/202216:40","7.8",
"03/03/202216:50","7.8",
"03/03/202217:00","7.8",
"03/03/202217:10","7.7",
"03/03/202217:20","7.7",
"03/03/202217:30","7.6",
"03/03/202217:40","7.5",
"03/03/202217:50","7.3",
"03/03/202218:00","7.3",
"03/03/202218:10","7.2",
"03/03/202218:20","7.1",
"03/03/202218:30","7.0",
"03/03/202218:40","6.9",
"03/03/202218:50","6.9",
"03/03/202219:00","6.8",
"03/03/202219:10","6.7",
"03/03/202219:20","6.7",
"03/03/202219:30","6.7",
"03/03/202219:40","6.7",
"03/03/202219:50","6.7",
"03/03/202220:00","6.6",
"03/03/202220:10","6.6",
"03/03/202220:20","6.6",
"03/03/202220:30","6.7",
"03/03/202220:40","6.8",
"03/03/202220:50","7.0",
"03/03/202221:00","6.9",
"03/03/202221:10","6.8",
"03/03/202221:20","6.8",
"03/03/202221:30","6.8",
"03/03/202221:40","6.6",
"03/03/202221:50","6.4",
"03/03/202222:00","6.4",
"03/03/202222:10","6.4",
"03/03/202222:20","6.4",
"03/03/202222:30","6.4",
"03/03/202222:40","6.3",
"03/03/202222:50","6.3",
"03/03/202223:00","6.4",
"03/03/202223:10","6.5",
"03/03/202223:20","6.5",
"03/03/202223:30","6.5",
"03/03/202223:40","6.4",
"03/03/202223:50","6.4",
"04/03/20220:00","6.3",
"04/03/20220:10","6.2",
"04/03/20220:20","6.2",
"04/03/20220:30","6.2",
"04/03/20220:40","6.2",
"04/03/20220:50","6.2",
"04/03/20221:00","6.2",
"04/03/20221:10","6.2",
"04/03/20221:20","6.2",
"04/03/20221:30","6.2",
"04/03/20221:40","6.1",
"04/03/20221:50","6.1",
"04/03/20222:00","6.1",
"04/03/20222:10","6.0",
"04/03/20222:20","6.1",
"04/03/20222:30","6.1",
"04/03/20222:40","6.1",
"04/03/20222:50","6.2",
"04/03/20223:00","6.1",
"04/03/20223:10","5.9",
"04/03/20223:20","5.8",
"04/03/20223:30","5.8",
"04/03/20223:40","5.7",
"04/03/20223:50","5.7",
"04/03/20224:00","5.9",
"04/03/20224:10","6.1",
"04/03/20224:20","6.0",
"04/03/20224:30","5.8",
"04/03/20224:40","5.8",
"04/03/20224:50","5.8",
"04/03/20225:00","5.9",
"04/03/20225:10","5.8",
"04/03/20225:20","5.6",
"04/03/20225:30","5.8",
"04/03/20225:40","6.0",
"04/03/20225:50","6.0",
"04/03/20226:00","6.0",
"04/03/20226:10","5.9",
"04/03/20226:20","5.9",
"04/03/20226:30","5.9",
"04/03/20226:40","5.9",
"04/03/20226:50","6.0",
"04/03/20227:00","6.0",
"04/03/20227:10","6.0",
"04/03/20227:20","6.0",
"04/03/20227:30","6.1",
"04/03/20227:40","6.2",
"04/03/20227:50","6.1",
"04/03/20228:00","6.0",
"04/03/20228:10","6.1",
"04/03/20228:20","6.3",
"04/03/20228:30","6.4",
"04/03/20228:40","6.5",
"04/03/20228:50","6.6",
"04/03/20229:00","6.6",
"04/03/20229:10","6.7",
"04/03/20229:20","6.7",
"04/03/20229:30","6.7",
"04/03/20229:40","6.9",
"04/03/20229:50","7.2",
"04/03/202210:00","7.3",
"04/03/202210:10","7.6",
"04/03/202210:20","7.4",
"04/03/202210:30","7.3",
"04/03/202210:40","7.4",
"04/03/202210:50","7.5",
"04/03/202211:00","7.4",
"04/03/202211:10","7.5",
"04/03/202211:20","7.8",
"04/03/202211:30","7.8",
"04/03/202211:40","7.8",
"04/03/202211:50","7.2",
"04/03/202212:00","7.1",
"04/03/202212:10","7.5",
"04/03/202212:20","7.5",
"04/03/202212:30","7.7",
"04/03/202212:40","7.6",
"04/03/202212:50","7.7",
"04/03/202213:00","7.9",
"04/03/202213:10","8.2",
"04/03/202213:20","7.7",
"04/03/202213:30","7.6",
"04/03/202213:40","7.7",
"04/03/202213:50","7.4",
"04/03/202214:00","7.2",
"04/03/202214:10","7.5",
"04/03/202214:20","8.0",
"04/03/202214:30","7.9",
"04/03/202214:40","7.6",
"04/03/202214:50","7.5",
"04/03/202215:00","7.4",
"04/03/202215:10","7.3",
"04/03/202215:20","7.1",
"04/03/202215:30","7.0",
"04/03/202215:40","7.0",
"04/03/202215:50","7.1",
"04/03/202216:00","6.9",
"04/03/202216:10","6.9",
"04/03/202216:20","7.0",
"04/03/202216:30","6.9",
"04/03/202216:40","7.1",
"04/03/202216:50","6.7",
"04/03/202217:00","6.6",
"04/03/202217:10","6.5",
"04/03/202217:20","6.4",
"04/03/202217:30","6.4",
"04/03/202217:40","6.3",
"04/03/202217:50","6.3",
"04/03/202218:00","6.1",
"04/03/202218:10","5.8",
"04/03/202218:20","5.5",
"04/03/202218:30","5.5",
"04/03/202218:40","5.5",
"04/03/202218:50","5.3",
"04/03/202219:00","5.2",
"04/03/202219:10","5.2",
"04/03/202219:20","5.2",
"04/03/202219:30","5.0",
"04/03/202219:40","4.7",
"04/03/202219:50","4.6",
"04/03/202220:00","4.6",
"04/03/202220:10","4.5",
"04/03/202220:20","4.5",
"04/03/202220:30","4.5",
"04/03/202220:40","4.4",
"04/03/202220:50","4.3",
"04/03/202221:00","4.2",
"04/03/202221:10","4.1",
"04/03/202221:20","3.9",
"04/03/202221:30","3.6",
"04/03/202221:40","3.5",
"04/03/202221:50","3.4",
"04/03/202222:00","3.4",
"04/03/202222:10","3.3",
"04/03/202222:20","3.3",
"04/03/202222:30","3.3",
"04/03/202222:40","3.2",
"04/03/202222:50","3.3",
"04/03/202223:00","3.2",
"04/03/202223:10","3.0",
"04/03/202223:20","3.1",
"04/03/202223:30","3.2",
"04/03/202223:40","3.2",
"04/03/202223:50","3.2",
"05/03/20220:00","3.3",
"05/03/20220:10","3.3",
"05/03/20220:20","3.5",
"05/03/20220:30","3.4",
"05/03/20220:40","3.3",
"05/03/20220:50","3.1",
"05/03/20221:00","2.8",
"05/03/20221:10","2.9",
"05/03/20221:20","3.1",
"05/03/20221:30","3.2",
"05/03/20221:40","2.9",
"05/03/20221:50","2.9",
"05/03/20222:00","2.7",
"05/03/20222:10","2.3",
"05/03/20222:20","2.1",
"05/03/20222:30","2.1",
"05/03/20222:40","2.1",
"05/03/20222:50","2.4",
"05/03/20223:00","2.6",
"05/03/20223:10","2.7",
"05/03/20223:20","2.8",
"05/03/20223:30","2.9",
"05/03/20223:40","3.0",
"05/03/20223:50","3.0",
"05/03/20224:00","3.0",
"05/03/20224:10","3.2",
"05/03/20224:20","3.3",
"05/03/20224:30","3.4",
"05/03/20224:40","3.4",
"05/03/20224:50","3.2",
"05/03/20225:00","2.9",
"05/03/20225:10","2.8",
"05/03/20225:20","2.8",
"05/03/20225:30","2.8",
"05/03/20225:40","3.0",
"05/03/20225:50","3.0",
"05/03/20226:00","2.9",
