98%">"FECHA","TEMPERATURA",
"","  C",
"01/10/20210:00","9.2",
"01/10/20210:10","9.2",
"01/10/20210:20","8.8",
"01/10/20210:30","8.6",
"01/10/20210:40","8.6",
"01/10/20210:50","8.6",
"01/10/20211:00","8.5",
"01/10/20211:10","8.1",
"01/10/20211:20","7.7",
"01/10/20211:30","7.5",
"01/10/20211:40","7.2",
"01/10/20211:50","6.9",
"01/10/20212:00","7.1",
"01/10/20212:10","6.9",
"01/10/20212:20","6.9",
"01/10/20212:30","6.8",
"01/10/20212:40","6.7",
"01/10/20212:50","6.6",
"01/10/20213:00","6.7",
"01/10/20213:10","6.7",
"01/10/20213:20","6.9",
"01/10/20213:30","6.9",
"01/10/20213:40","6.7",
"01/10/20213:50","6.7",
"01/10/20214:00","6.5",
"01/10/20214:10","6.2",
"01/10/20214:20","6.1",
"01/10/20214:30","6.1",
"01/10/20214:40","5.8",
"01/10/20214:50","5.7",
"01/10/20215:00","5.8",
"01/10/20215:10","6.1",
"01/10/20215:20","6.4",
"01/10/20215:30","6.4",
"01/10/20215:40","6.0",
"01/10/20215:50","5.7",
"01/10/20216:00","5.7",
"01/10/20216:10","5.8",
"01/10/20216:20","6.0",
"01/10/20216:30","6.2",
"01/10/20216:40","6.5",
"01/10/20216:50","6.7",
"01/10/20217:00","6.9",
"01/10/20217:10","7.3",
"01/10/20217:20","7.7",
"01/10/20217:30","8.2",
"01/10/20217:40","8.5",
"01/10/20217:50","9.2",
"01/10/20218:00","9.4",
"01/10/20218:10","9.4",
"01/10/20218:20","10.0",
"01/10/20218:30","10.8",
"01/10/20218:40","11.5",
"01/10/20218:50","11.9",
"01/10/20219:00","12.1",
"01/10/20219:10","12.3",
"01/10/20219:20","12.6",
"01/10/20219:30","13.2",
"01/10/20219:40","13.2",
"01/10/20219:50","13.5",
"01/10/202110:00","13.9",
"01/10/202110:10","14.6",
"01/10/202110:20","14.8",
"01/10/202110:30","15.3",
"01/10/202110:40","16.2",
"01/10/202110:50","16.6",
"01/10/202111:00","17.0",
"01/10/202111:10","17.8",
"01/10/202111:20","18.7",
"01/10/202111:30","19.2",
"01/10/202111:40","19.3",
"01/10/202111:50","19.9",
"01/10/202112:00","20.8",
"01/10/202112:10","21.4",
"01/10/202112:20","21.5",
"01/10/202112:30","21.3",
"01/10/202112:40","21.0",
"01/10/202112:50","20.8",
"01/10/202113:00","20.6",
"01/10/202113:10","20.7",
"01/10/202113:20","20.8",
"01/10/202113:30","20.8",
"01/10/202113:40","20.8",
"01/10/202113:50","21.0",
"01/10/202114:00","21.2",
"01/10/202114:10","21.4",
"01/10/202114:20","21.3",
"01/10/202114:30","21.3",
"01/10/202114:40","21.2",
"01/10/202114:50","21.6",
"01/10/202115:00","21.2",
"01/10/202115:10","20.9",
"01/10/202115:20","20.8",
"01/10/202115:30","20.6",
"01/10/202115:40","20.4",
"01/10/202115:50","20.4",
"01/10/202116:00","20.4",
"01/10/202116:10","20.3",
"01/10/202116:20","20.2",
"01/10/202116:30","20.0",
"01/10/202116:40","19.9",
"01/10/202116:50","19.8",
"01/10/202117:00","19.7",
"01/10/202117:10","19.5",
"01/10/202117:20","19.3",
"01/10/202117:30","19.2",
"01/10/202117:40","19.0",
"01/10/202117:50","18.7",
"01/10/202118:00","18.2",
"01/10/202118:10","18.0",
"01/10/202118:20","17.9",
"01/10/202118:30","17.1",
"01/10/202118:40","16.7",
"01/10/202118:50","17.0",
"01/10/202119:00","17.0",
"01/10/202119:10","16.7",
"01/10/202119:20","16.5",
"01/10/202119:30","15.9",
"01/10/202119:40","15.1",
"01/10/202119:50","14.6",
