98%">"FECHA","TEMPERATURA",
"","  C",
"01/05/20220:00","7.2",
"01/05/20220:10","6.9",
"01/05/20220:20","7.3",
"01/05/20220:30","7.2",
"01/05/20220:40","7.5",
"01/05/20220:50","7.9",
"01/05/20221:00","7.3",
"01/05/20221:10","6.8",
"01/05/20221:20","7.1",
"01/05/20221:30","7.5",
"01/05/20221:40","7.5",
"01/05/20221:50","7.6",
"01/05/20222:00","7.3",
"01/05/20222:10","6.9",
"01/05/20222:20","6.3",
"01/05/20222:30","5.7",
"01/05/20222:40","5.3",
"01/05/20222:50","5.2",
"01/05/20223:00","5.5",
"01/05/20223:10","5.2",
"01/05/20223:20","5.1",
"01/05/20223:30","5.1",
"01/05/20223:40","5.0",
"01/05/20223:50","4.8",
"01/05/20224:00","4.6",
"01/05/20224:10","4.4",
"01/05/20224:20","4.6",
"01/05/20224:30","4.9",
"01/05/20224:40","4.8",
"01/05/20224:50","4.2",
"01/05/20225:00","4.3",
"01/05/20225:10","4.5",
"01/05/20225:20","4.8",
"01/05/20225:30","4.9",
"01/05/20225:40","5.3",
"01/05/20225:50","6.1",
"01/05/20226:00","6.5",
"01/05/20226:10","7.3",
"01/05/20226:20","7.7",
"01/05/20226:30","8.7",
"01/05/20226:40","9.3",
"01/05/20226:50","9.5",
"01/05/20227:00","9.9",
"01/05/20227:10","9.9",
"01/05/20227:20","10.3",
"01/05/20227:30","10.8",
"01/05/20227:40","11.4",
"01/05/20227:50","12.3",
"01/05/20228:00","12.6",
"01/05/20228:10","12.9",
"01/05/20228:20","13.4",
"01/05/20228:30","13.9",
"01/05/20228:40","14.3",
"01/05/20228:50","14.7",
"01/05/20229:00","15.0",
"01/05/20229:10","15.4",
"01/05/20229:20","15.9",
"01/05/20229:30","16.3",
"01/05/20229:40","16.5",
"01/05/20229:50","16.8",
"01/05/202210:00","17.0",
"01/05/202210:10","16.9",
"01/05/202210:20","17.0",
"01/05/202210:30","17.3",
"01/05/202210:40","17.2",
"01/05/202210:50","17.0",
"01/05/202211:00","17.8",
"01/05/202211:10","17.9",
"01/05/202211:20","17.8",
"01/05/202211:30","17.7",
"01/05/202211:40","18.0",
"01/05/202211:50","18.1",
"01/05/202212:00","17.9",
"01/05/202212:10","17.7",
"01/05/202212:20","18.1",
"01/05/202212:30","18.2",
"01/05/202212:40","18.0",
"01/05/202212:50","18.2",
"01/05/202213:00","18.1",
"01/05/202213:10","17.9",
"01/05/202213:20","18.0",
"01/05/202213:30","18.3",
"01/05/202213:40","18.3",
"01/05/202213:50","18.2",
"01/05/202214:00","18.0",
"01/05/202214:10","17.8",
"01/05/202214:20","17.8",
"01/05/202214:30","18.1",
"01/05/202214:40","18.2",
"01/05/202214:50","18.1",
"01/05/202215:00","18.2",
"01/05/202215:10","18.0",
"01/05/202215:20","18.0",
"01/05/202215:30","18.0",
"01/05/202215:40","18.2",
"01/05/202215:50","18.2",
"01/05/202216:00","18.0",
"01/05/202216:10","17.8",
"01/05/202216:20","17.4",
"01/05/202216:30","17.6",
"01/05/202216:40","17.4",
"01/05/202216:50","17.0",
"01/05/202217:00","16.7",
"01/05/202217:10","16.5",
"01/05/202217:20","16.5",
"01/05/202217:30","16.2",
"01/05/202217:40","15.8",
"01/05/202217:50","15.6",
"01/05/202218:00","15.3",
"01/05/202218:10","14.9",
"01/05/202218:20","14.5",
"01/05/202218:30","14.1",
"01/05/202218:40","13.8",
"01/05/202218:50","13.6",
"01/05/202219:00","13.3",
"01/05/202219:10","13.0",
"01/05/202219:20","12.6",
"01/05/202219:30","12.3",
"01/05/202219:40","12.0",
"01/05/202219:50","11.8",
"01/05/202220:00","11.7",
"01/05/202220:10","11.7",
"01/05/202220:20","11.4",
"01/05/202220:30","10.8",
"01/05/202220:40","10.6",
"01/05/202220:50","10.5",
"01/05/202221:00","10.4",
"01/05/202221:10","10.3",
"01/05/202221:20","10.2",
"01/05/202221:30","10.1",
"01/05/202221:40","10.1",
"01/05/202221:50","10.0",
"01/05/202222:00","10.1",
"01/05/202222:10","10.1",
"01/05/202222:20","10.1",
"01/05/202222:30","10.2",
"01/05/202222:40","10.3",
"01/05/202222:50","10.3",
"01/05/202223:00","10.3",
"01/05/202223:10","10.4",
"01/05/202223:20","10.4",
"01/05/202223:30","10.4",
"01/05/202223:40","10.3",
"01/05/202223:50","10.2",
"02/05/20220:00","10.1",
"02/05/20220:10","10.2",
"02/05/20220:20","10.1",
"02/05/20220:30","10.0",
"02/05/20220:40","10.0",
"02/05/20220:50","10.0",
"02/05/20221:00","10.0",
"02/05/20221:10","10.1",
"02/05/20221:20","10.1",
"02/05/20221:30","10.1",
"02/05/20221:40","10.1",
"02/05/20221:50","10.2",
"02/05/20222:00","10.2",
"02/05/20222:10","10.1",
"02/05/20222:20","10.1",
"02/05/20222:30","10.0",
"02/05/20222:40","9.8",
"02/05/20222:50","9.7",
"02/05/20223:00","9.8",
"02/05/20223:10","9.8",
"02/05/20223:20","9.7",
"02/05/20223:30","9.5",
"02/05/20223:40","9.6",
"02/05/20223:50","9.6",
"02/05/20224:00","9.6",
"02/05/20224:10","9.6",
"02/05/20224:20","9.6",
"02/05/20224:30","9.5",
"02/05/20224:40","9.6",
"02/05/20224:50","9.6",
"02/05/20225:00","9.7",
"02/05/20225:10","9.8",
"02/05/20225:20","9.8",
"02/05/20225:30","9.9",
"02/05/20225:40","9.9",
"02/05/20225:50","10.0",
"02/05/20226:00","10.0",
"02/05/20226:10","9.9",
"02/05/20226:20","10.0",
"02/05/20226:30","10.0",
"02/05/20226:40","10.0",
"02/05/20226:50","10.0",
"02/05/20227:00","10.1",
"02/05/20227:10","10.1",
"02/05/20227:20","10.2",
"02/05/20227:30","10.3",
"02/05/20227:40","10.4",
"02/05/20227:50","10.4",
"02/05/20228:00","10.5",
"02/05/20228:10","10.6",
"02/05/20228:20","10.6",
"02/05/20228:30","10.6",
"02/05/20228:40","10.7",
"02/05/20228:50","10.8",
"02/05/20229:00","10.8",
"02/05/20229:10","10.9",
"02/05/20229:20","10.9",
"02/05/20229:30","11.1",
"02/05/20229:40","11.3",
"02/05/20229:50","11.4",
"02/05/202210:00","11.4",
"02/05/202210:10","11.8",
"02/05/202210:20","12.2",
"02/05/202210:30","12.2",
"02/05/202210:40","12.1",
"02/05/202210:50","12.2",
"02/05/202211:00","12.2",
"02/05/202211:10","12.1",
"02/05/202211:20","12.3",
"02/05/202211:30","12.4",
"02/05/202211:40","12.5",
"02/05/202211:50","12.6",
"02/05/202212:00","12.9",
"02/05/202212:10","12.7",
"02/05/202212:20","12.5",
"02/05/202212:30","12.6",
"02/05/202212:40","12.7",
"02/05/202212:50","12.8",
"02/05/202213:00","13.0",
"02/05/202213:10","12.9",
"02/05/202213:20","12.9",
"02/05/202213:30","12.9",
"02/05/202213:40","13.0",
"02/05/202213:50","13.0",
"02/05/202214:00","13.0",
"02/05/202214:10","13.1",
"02/05/202214:20","12.7",
"02/05/202214:30","12.7",
"02/05/202214:40","12.8",
"02/05/202214:50","12.6",
"02/05/202215:00","12.5",
"02/05/202215:10","12.2",
"02/05/202215:20","12.1",
"02/05/202215:30","12.1",
"02/05/202215:40","12.0",
"02/05/202215:50","11.9",
"02/05/202216:00","11.9",
"02/05/202216:10","11.8",
"02/05/202216:20","11.7",
"02/05/202216:30","11.6",
"02/05/202216:40","11.4",
"02/05/202216:50","11.3",
"02/05/202217:00","11.2",
"02/05/202217:10","11.2",
"02/05/202217:20","11.1",
"02/05/202217:30","11.0",
"02/05/202217:40","11.1",
"02/05/202217:50","11.1",
"02/05/202218:00","11.1",
"02/05/202218:10","11.0",
"02/05/202218:20","10.8",
"02/05/202218:30","10.7",
"02/05/202218:40","10.7",
"02/05/202218:50","10.6",
"02/05/202219:00","10.6",
"02/05/202219:10","10.5",
"02/05/202219:20","10.5",
"02/05/202219:30","10.4",
"02/05/202219:40","10.4",
"02/05/202219:50","10.3",
"02/05/202220:00","10.3",
"02/05/202220:10","10.3",
"02/05/202220:20","10.3",
"02/05/202220:30","10.3",
"02/05/202220:40","10.1",
"02/05/202220:50","10.2",
"02/05/202221:00","10.2",
"02/05/202221:10","10.1",
"02/05/202221:20","10.0",
"02/05/202221:30","9.9",
"02/05/202221:40","9.8",
"02/05/202221:50","9.8",
"02/05/202222:00","9.7",
"02/05/202222:10","9.6",
"02/05/202222:20","9.6",
"02/05/202222:30","9.5",
"02/05/202222:40","9.5",
"02/05/202222:50","9.6",
"02/05/202223:00","9.6",
"02/05/202223:10","9.6",
"02/05/202223:20","9.5",
"02/05/202223:30","9.5",
"02/05/202223:40","9.4",
"02/05/202223:50","9.4",
"03/05/20220:00","9.3",
"03/05/20220:10","9.3",
"03/05/20220:20","9.3",
"03/05/20220:30","9.1",
"03/05/20220:40","8.9",
"03/05/20220:50","8.8",
"03/05/20221:00","8.7",
"03/05/20221:10","8.6",
"03/05/20221:20","8.8",
"03/05/20221:30","8.8",
"03/05/20221:40","8.7",
"03/05/20221:50","8.8",
"03/05/20222:00","8.8",
"03/05/20222:10","8.8",
"03/05/20222:20","8.8",
"03/05/20222:30","8.8",
"03/05/20222:40","8.7",
"03/05/20222:50","8.7",
"03/05/20223:00","8.8",
"03/05/20223:10","8.9",
"03/05/20223:20","8.7",
"03/05/20223:30","8.8",
"03/05/20223:40","8.9",
"03/05/20223:50","8.9",
"03/05/20224:00","9.1",
"03/05/20224:10","9.1",
"03/05/20224:20","9.1",
"03/05/20224:30","9.0",
"03/05/20224:40","9.0",
"03/05/20224:50","9.0",
"03/05/20225:00","9.0",
"03/05/20225:10","9.0",
"03/05/20225:20","9.2",
"03/05/20225:30","9.2",
"03/05/20225:40","9.1",
"03/05/20225:50","9.1",
"03/05/20226:00","9.5",
"03/05/20226:10","9.7",
"03/05/20226:20","10.0",
"03/05/20226:30","10.1",
"03/05/20226:40","10.4",
"03/05/20226:50","10.6",
"03/05/20227:00","10.7",
"03/05/20227:10","11.0",
"03/05/20227:20","11.1",
"03/05/20227:30","11.1",
"03/05/20227:40","11.2",
"03/05/20227:50","11.5",
"03/05/20228:00","11.6",
"03/05/20228:10","11.7",
"03/05/20228:20","12.0",
"03/05/20228:30","12.3",
"03/05/20228:40","12.5",
"03/05/20228:50","12.6",
"03/05/20229:00","13.1",
"03/05/20229:10","13.5",
"03/05/20229:20","13.6",
"03/05/20229:30","14.2",
"03/05/20229:40","14.3",
"03/05/20229:50","14.1",
"03/05/202210:00","14.1",
"03/05/202210:10","14.0",
"03/05/202210:20","13.9",
"03/05/202210:30","13.9",
"03/05/202210:40","13.9",
"03/05/202210:50","13.6",
"03/05/202211:00","13.6",
"03/05/202211:10","13.4",
"03/05/202211:20","13.4",
"03/05/202211:30","13.8",
"03/05/202211:40","13.8",
"03/05/202211:50","13.9",
"03/05/202212:00","14.0",
"03/05/202212:10","13.9",
"03/05/202212:20","13.9",
"03/05/202212:30","14.1",
"03/05/202212:40","14.2",
"03/05/202212:50","14.6",
"03/05/202213:00","14.5",
"03/05/202213:10","15.3",
"03/05/202213:20","15.2",
"03/05/202213:30","15.1",
"03/05/202213:40","15.5",
"03/05/202213:50","15.6",
"03/05/202214:00","15.5",
"03/05/202214:10","15.7",
"03/05/202214:20","15.7",
"03/05/202214:30","15.7",
"03/05/202214:40","15.5",
