98%">"FECHA","TEMPERATURA",
"","  C",
"01/04/20220:00","1.9",
"01/04/20220:10","1.8",
"01/04/20220:20","1.5",
"01/04/20220:30","1.5",
"01/04/20220:40","1.8",
"01/04/20220:50","1.9",
"01/04/20221:00","1.9",
"01/04/20221:10","2.1",
"01/04/20221:20","2.2",
"01/04/20221:30","2.1",
"01/04/20221:40","2.1",
"01/04/20221:50","1.8",
"01/04/20222:00","1.8",
"01/04/20222:10","1.5",
"01/04/20222:20","0.2",
"01/04/20222:30","0.0",
"01/04/20222:40","0.4",
"01/04/20222:50","0.5",
"01/04/20223:00","0.6",
"01/04/20223:10","0.2",
"01/04/20223:20","0.2",
"01/04/20223:30","0.8",
"01/04/20223:40","1.2",
"01/04/20223:50","1.5",
"01/04/20224:00","1.4",
"01/04/20224:10","1.4",
"01/04/20224:20","1.1",
"01/04/20224:30","0.7",
"01/04/20224:40","0.8",
"01/04/20224:50","0.3",
"01/04/20225:00","-0.1",
"01/04/20225:10","-0.0",
"01/04/20225:20","-0.2",
"01/04/20225:30","-1.1",
"01/04/20225:40","-1.2",
"01/04/20225:50","-1.2",
"01/04/20226:00","-1.2",
"01/04/20226:10","-1.1",
"01/04/20226:20","-1.1",
"01/04/20226:30","-1.1",
"01/04/20226:40","-1.1",
"01/04/20226:50","-1.1",
"01/04/20227:00","-1.0",
"01/04/20227:10","-0.9",
"01/04/20227:20","-0.7",
"01/04/20227:30","-0.6",
"01/04/20227:40","-0.5",
"01/04/20227:50","-0.4",
"01/04/20228:00","-0.4",
"01/04/20228:10","-0.7",
"01/04/20228:20","-0.6",
"01/04/20228:30","-0.4",
"01/04/20228:40","-0.2",
"01/04/20228:50","-0.1",
"01/04/20229:00","0.2",
"01/04/20229:10","0.7",
"01/04/20229:20","1.1",
"01/04/20229:30","1.4",
"01/04/20229:40","0.9",
"01/04/20229:50","0.3",
"01/04/202210:00","0.0",
"01/04/202210:10","-0.2",
"01/04/202210:20","0.5",
"01/04/202210:30","1.5",
"01/04/202210:40","1.6",
"01/04/202210:50","1.6",
"01/04/202211:00","2.0",
"01/04/202211:10","2.6",
"01/04/202211:20","2.5",
"01/04/202211:30","2.6",
"01/04/202211:40","2.9",
"01/04/202211:50","3.1",
"01/04/202212:00","3.3",
"01/04/202212:10","3.4",
"01/04/202212:20","3.7",
"01/04/202212:30","3.1",
"01/04/202212:40","1.3",
"01/04/202212:50","0.5",
"01/04/202213:00","0.4",
"01/04/202213:10","2.1",
"01/04/202213:20","3.1",
"01/04/202213:30","3.6",
"01/04/202213:40","3.3",
"01/04/202213:50","1.8",
"01/04/202214:00","1.5",
"01/04/202214:10","1.7",
"01/04/202214:20","2.0",
"01/04/202214:30","2.3",
"01/04/202214:40","2.4",
"01/04/202214:50","2.1",
"01/04/202215:00","2.0",
"01/04/202215:10","2.2",
"01/04/202215:20","1.9",
"01/04/202215:30","1.8",
"01/04/202215:40","1.9",
"01/04/202215:50","1.8",
"01/04/202216:00","1.9",
"01/04/202216:10","2.5",
"01/04/202216:20","2.8",
"01/04/202216:30","3.1",
"01/04/202216:40","3.0",
"01/04/202216:50","2.3",
"01/04/202217:00","1.4",
"01/04/202217:10","0.6",
"01/04/202217:20","0.7",
"01/04/202217:30","1.1",
"01/04/202217:40","1.5",
"01/04/202217:50","1.3",
"01/04/202218:00","1.0",
"01/04/202218:10","0.9",
"01/04/202218:20","0.9",
"01/04/202218:30","0.1",
"01/04/202218:40","-0.3",
"01/04/202218:50","-0.5",
"01/04/202219:00","-0.5",
"01/04/202219:10","-0.5",
"01/04/202219:20","-0.5",
"01/04/202219:30","-0.4",
"01/04/202219:40","-0.5",
"01/04/202219:50","-0.5",
"01/04/202220:00","-0.4",
"01/04/202220:10","-0.3",
"01/04/202220:20","-0.2",
"01/04/202220:30","-0.0",
"01/04/202220:40","-0.0",
"01/04/202220:50","-0.3",
"01/04/202221:00","-0.5",
"01/04/202221:10","-0.6",
"01/04/202221:20","-0.6",
"01/04/202221:30","-0.5",
"01/04/202221:40","-0.6",
"01/04/202221:50","-0.6",
"01/04/202222:00","-0.7",
"01/04/202222:10","-0.7",
"01/04/202222:20","-0.7",
"01/04/202222:30","-0.6",
"01/04/202222:40","-0.5",
"01/04/202222:50","-0.8",
"01/04/202223:00","-1.1",
"01/04/202223:10","-1.0",
"01/04/202223:20","-1.2",
"01/04/202223:30","-1.2",
"01/04/202223:40","-1.2",
"01/04/202223:50","-1.1",
"02/04/20220:00","-1.0",
"02/04/20220:10","-1.0",
"02/04/20220:20","-1.0",
"02/04/20220:30","-0.9",
"02/04/20220:40","-0.9",
"02/04/20220:50","-0.9",
"02/04/20221:00","-0.9",
"02/04/20221:10","-0.8",
"02/04/20221:20","-0.9",
"02/04/20221:30","-0.9",
"02/04/20221:40","-0.8",
"02/04/20221:50","-0.8",
"02/04/20222:00","-0.7",
"02/04/20222:10","-0.7",
"02/04/20222:20","-0.7",
"02/04/20222:30","-1.0",
"02/04/20222:40","-1.1",
"02/04/20222:50","-1.2",
"02/04/20223:00","-1.1",
"02/04/20223:10","-1.0",
"02/04/20223:20","-1.0",
"02/04/20223:30","-0.9",
"02/04/20223:40","-0.9",
"02/04/20223:50","-1.0",
"02/04/20224:00","-1.1",
"02/04/20224:10","-1.1",
"02/04/20224:20","-1.0",
"02/04/20224:30","-1.0",
"02/04/20224:40","-0.9",
"02/04/20224:50","-0.8",
"02/04/20225:00","-0.8",
"02/04/20225:10","-0.9",
"02/04/20225:20","-0.9",
"02/04/20225:30","-0.9",
"02/04/20225:40","-0.9",
"02/04/20225:50","-0.8",
"02/04/20226:00","-0.8",
"02/04/20226:10","-0.7",
"02/04/20226:20","-0.7",
"02/04/20226:30","-0.6",
"02/04/20226:40","-0.5",
"02/04/20226:50","-0.4",
"02/04/20227:00","-0.2",
"02/04/20227:10","-0.3",
"02/04/20227:20","-0.2",
"02/04/20227:30","-0.2",
"02/04/20227:40","0.2",
"02/04/20227:50","0.5",
"02/04/20228:00","0.6",
"02/04/20228:10","0.3",
"02/04/20228:20","0.1",
"02/04/20228:30","-0.2",
"02/04/20228:40","-0.1",
"02/04/20228:50","0.2",
"02/04/20229:00","0.3",
"02/04/20229:10","0.7",
"02/04/20229:20","1.0",
"02/04/20229:30","1.6",
"02/04/20229:40","2.0",
"02/04/20229:50","2.1",
"02/04/202210:00","1.9",
"02/04/202210:10","2.1",
"02/04/202210:20","2.3",
"02/04/202210:30","2.6",
"02/04/202210:40","2.6",
"02/04/202210:50","2.7",
"02/04/202211:00","2.9",
"02/04/202211:10","3.1",
"02/04/202211:20","3.2",
"02/04/202211:30","3.3",
"02/04/202211:40","3.6",
"02/04/202211:50","3.7",
"02/04/202212:00","3.6",
"02/04/202212:10","3.5",
"02/04/202212:20","4.1",
"02/04/202212:30","4.3",
"02/04/202212:40","4.5",
"02/04/202212:50","4.2",
"02/04/202213:00","4.6",
"02/04/202213:10","4.9",
"02/04/202213:20","5.1",
"02/04/202213:30","5.1",
"02/04/202213:40","5.6",
"02/04/202213:50","5.4",
"02/04/202214:00","5.2",
"02/04/202214:10","5.4",
"02/04/202214:20","5.4",
"02/04/202214:30","5.2",
"02/04/202214:40","5.4",
"02/04/202214:50","5.5",
"02/04/202215:00","5.1",
"02/04/202215:10","5.1",
"02/04/202215:20","5.0",
"02/04/202215:30","5.1",
"02/04/202215:40","5.0",
"02/04/202215:50","4.9",
"02/04/202216:00","4.8",
"02/04/202216:10","4.7",
"02/04/202216:20","4.8",
"02/04/202216:30","4.3",
"02/04/202216:40","4.1",
"02/04/202216:50","4.0",
"02/04/202217:00","3.6",
"02/04/202217:10","3.7",
"02/04/202217:20","3.7",
"02/04/202217:30","3.1",
"02/04/202217:40","2.7",
"02/04/202217:50","2.4",
"02/04/202218:00","2.3",
"02/04/202218:10","2.2",
"02/04/202218:20","2.0",
"02/04/202218:30","1.6",
"02/04/202218:40","1.4",
"02/04/202218:50","1.4",
"02/04/202219:00","1.1",
"02/04/202219:10","0.8",
"02/04/202219:20","0.7",
"02/04/202219:30","0.8",
"02/04/202219:40","0.7",
"02/04/202219:50","0.9",
"02/04/202220:00","1.0",
"02/04/202220:10","1.0",
"02/04/202220:20","1.2",
"02/04/202220:30","1.2",
"02/04/202220:40","1.1",
"02/04/202220:50","0.8",
"02/04/202221:00","0.6",
"02/04/202221:10","0.4",
"02/04/202221:20","0.3",
"02/04/202221:30","0.2",
"02/04/202221:40","-0.0",
"02/04/202221:50","-0.2",
"02/04/202222:00","-0.2",
"02/04/202222:10","-0.2",
"02/04/202222:20","-0.3",
"02/04/202222:30","-0.1",
"02/04/202222:40","0.1",
"02/04/202222:50","0.3",
"02/04/202223:00","0.3",
"02/04/202223:10","-0.3",
"02/04/202223:20","-0.7",
"02/04/202223:30","-1.0",
"02/04/202223:40","-1.0",
"02/04/202223:50","-1.0",
"03/04/20220:00","-0.9",
"03/04/20220:10","-1.1",
"03/04/20220:20","-1.3",
"03/04/20220:30","-1.4",
"03/04/20220:40","-2.0",
"03/04/20220:50","-2.1",
"03/04/20221:00","-1.7",
"03/04/20221:10","-1.7",
"03/04/20221:20","-1.9",
"03/04/20221:30","-2.0",
"03/04/20221:40","-2.3",
"03/04/20221:50","-2.4",
"03/04/20222:00","-2.4",
"03/04/20222:10","-2.7",
"03/04/20222:20","-2.9",
"03/04/20222:30","-3.0",
"03/04/20222:40","-2.9",
"03/04/20222:50","-2.8",
"03/04/20223:00","-3.2",
"03/04/20223:10","-3.4",
"03/04/20223:20","-3.4",
"03/04/20223:30","-4.2",
"03/04/20223:40","-3.9",
"03/04/20223:50","-4.1",
"03/04/20224:00","-4.1",
"03/04/20224:10","-4.1",
"03/04/20224:20","-3.8",
"03/04/20224:30","-3.9",
"03/04/20224:40","-4.0",
"03/04/20224:50","-4.2",
"03/04/20225:00","-4.3",
"03/04/20225:10","-4.7",
"03/04/20225:20","-4.4",
"03/04/20225:30","-3.9",
"03/04/20225:40","-4.2",
"03/04/20225:50","-4.5",
"03/04/20226:00","-4.2",
"03/04/20226:10","-4.1",
"03/04/20226:20","-3.7",
"03/04/20226:30","-3.0",
"03/04/20226:40","-2.7",
"03/04/20226:50","-2.2",
"03/04/20227:00","-1.6",
"03/04/20227:10","-1.2",
"03/04/20227:20","-0.6",
"03/04/20227:30","-0.3",
"03/04/20227:40","0.2",
"03/04/20227:50","0.6",
"03/04/20228:00","0.8",
"03/04/20228:10","1.4",
"03/04/20228:20","1.6",
"03/04/20228:30","2.0",
"03/04/20228:40","2.3",
"03/04/20228:50","2.5",
"03/04/20229:00","2.7",
"03/04/20229:10","2.7",
"03/04/20229:20","2.8",
"03/04/20229:30","2.6",
"03/04/20229:40","2.8",
"03/04/20229:50","3.6",
"03/04/202210:00","3.9",
"03/04/202210:10","3.4",
"03/04/202210:20","3.6",
"03/04/202210:30","3.6",
"03/04/202210:40","3.5",
"03/04/202210:50","3.8",
"03/04/202211:00","3.8",
"03/04/202211:10","4.5",
"03/04/202211:20","4.9",
"03/04/202211:30","4.3",
"03/04/202211:40","4.1",
"03/04/202211:50","4.2",
"03/04/202212:00","4.5",
"03/04/202212:10","5.0",
"03/04/202212:20","4.9",
"03/04/202212:30","4.7",
"03/04/202212:40","5.3",
"03/04/202212:50","5.1",
"03/04/202213:00","5.2",
"03/04/202213:10","4.9",
"03/04/202213:20","5.2",
"03/04/202213:30","5.0",
"03/04/202213:40","5.4",
"03/04/202213:50","5.3",
"03/04/202214:00","5.0",
"03/04/202214:10","4.9",
"03/04/202214:20","5.5",
"03/04/202214:30","4.9",
"03/04/202214:40","5.2",
"03/04/202214:50","5.2",
"03/04/202215:00","5.0",
"03/04/202215:10","4.6",
"03/04/202215:20","4.6",
"03/04/202215:30","5.5",
"03/04/202215:40","5.1",
"03/04/202215:50","4.5",
"03/04/202216:00","4.1",
"03/04/202216:10","3.5",
"03/04/202216:20","4.1",
"03/04/202216:30","4.0",
"03/04/202216:40","3.6",
"03/04/202216:50","3.4",
"03/04/202217:00","3.5",
"03/04/202217:10","3.2",
"03/04/202217:20","2.9",
"03/04/202217:30","2.9",
"03/04/202217:40","3.1",
"03/04/202217:50","3.3",
"03/04/202218:00","2.9",
"03/04/202218:10","2.8",
"03/04/202218:20","2.6",
"03/04/202218:30","2.5",
"03/04/202218:40","2.6",
"03/04/202218:50","2.6",
"03/04/202219:00","2.5",
"03/04/202219:10","2.4",
"03/04/202219:20","2.3",
"03/04/202219:30","2.2",
"03/04/202219:40","2.3",
"03/04/202219:50","2.2",
"03/04/202220:00","2.1",
"03/04/202220:10","2.1",
"03/04/202220:20","2.2",
"03/04/202220:30","2.2",
"03/04/202220:40","2.1",
"03/04/202220:50","2.1",
"03/04/202221:00","2.2",
"03/04/202221:10","2.2",
"03/04/202221:20","2.2",
"03/04/202221:30","2.0",
