98%">"FECHA","TEMPERATURA",
"","  C",
"01/01/20220:00","0.6",
"01/01/20220:10","0.4",
"01/01/20220:20","0.2",
"01/01/20220:30","0.7",
"01/01/20220:40","1.1",
"01/01/20220:50","0.5",
"01/01/20221:00","0.6",
"01/01/20221:10","0.4",
"01/01/20221:20","-0.1",
"01/01/20221:30","0.8",
"01/01/20221:40","1.5",
"01/01/20221:50","1.3",
"01/01/20222:00","1.0",
"01/01/20222:10","0.6",
"01/01/20222:20","0.3",
"01/01/20222:30","0.2",
"01/01/20222:40","0.1",
"01/01/20222:50","-0.3",
"01/01/20223:00","-0.2",
"01/01/20223:10","-0.1",
"01/01/20223:20","-0.4",
"01/01/20223:30","-0.0",
"01/01/20223:40","-0.0",
"01/01/20223:50","-0.3",
"01/01/20224:00","-0.7",
"01/01/20224:10","-0.1",
"01/01/20224:20","-0.4",
"01/01/20224:30","-0.5",
"01/01/20224:40","-0.3",
"01/01/20224:50","-0.7",
"01/01/20225:00","-0.7",
"01/01/20225:10","-0.9",
"01/01/20225:20","-1.0",
"01/01/20225:30","-0.8",
"01/01/20225:40","-0.4",
"01/01/20225:50","-0.5",
"01/01/20226:00","-0.3",
"01/01/20226:10","-0.6",
"01/01/20226:20","-0.0",
"01/01/20226:30","-0.3",
"01/01/20226:40","-0.1",
"01/01/20226:50","0.3",
"01/01/20227:00","0.2",
"01/01/20227:10","-0.2",
"01/01/20227:20","-0.3",
"01/01/20227:30","-0.6",
"01/01/20227:40","-0.6",
"01/01/20227:50","-0.5",
"01/01/20228:00","-0.6",
"01/01/20228:10","-0.7",
"01/01/20228:20","-0.8",
"01/01/20228:30","-0.7",
"01/01/20228:40","-0.5",
"01/01/20228:50","-0.0",
"01/01/20229:00","0.9",
"01/01/20229:10","1.6",
"01/01/20229:20","1.9",
"01/01/20229:30","2.1",
"01/01/20229:40","2.9",
"01/01/20229:50","3.4",
"01/01/202210:00","4.0",
"01/01/202210:10","4.2",
"01/01/202210:20","4.7",
"01/01/202210:30","4.9",
"01/01/202210:40","5.2",
"01/01/202210:50","5.4",
"01/01/202211:00","6.0",
"01/01/202211:10","6.2",
"01/01/202211:20","6.4",
"01/01/202211:30","6.9",
"01/01/202211:40","7.0",
"01/01/202211:50","7.9",
"01/01/202212:00","8.5",
"01/01/202212:10","9.0",
"01/01/202212:20","9.5",
"01/01/202212:30","9.5",
"01/01/202212:40","10.2",
"01/01/202212:50","11.1",
"01/01/202213:00","11.6",
"01/01/202213:10","11.5",
"01/01/202213:20","11.4",
"01/01/202213:30","11.6",
"01/01/202213:40","11.9",
"01/01/202213:50","12.2",
"01/01/202214:00","12.6",
"01/01/202214:10","13.1",
"01/01/202214:20","13.8",
"01/01/202214:30","13.9",
"01/01/202214:40","13.2",
"01/01/202214:50","13.3",
"01/01/202215:00","12.8",
"01/01/202215:10","12.8",
"01/01/202215:20","12.5",
"01/01/202215:30","12.7",
"01/01/202215:40","14.1",
"01/01/202215:50","14.5",
"01/01/202216:00","14.6",
"01/01/202216:10","14.2",
"01/01/202216:20","12.6",
"01/01/202216:30","10.5",
"01/01/202216:40","9.3",
"01/01/202216:50","9.0",
"01/01/202217:00","8.6",
"01/01/202217:10","8.4",
"01/01/202217:20","7.3",
"01/01/202217:30","7.0",
"01/01/202217:40","6.6",
"01/01/202217:50","6.0",
"01/01/202218:00","5.6",
"01/01/202218:10","5.8",
"01/01/202218:20","5.8",
