98%">"FECHA","TEMPERATURA",
"","  C",
"01/09/20220:00","15.7",
"01/09/20220:10","15.1",
"01/09/20220:20","15.0",
"01/09/20220:30","14.8",
"01/09/20220:40","15.0",
"01/09/20220:50","15.0",
"01/09/20221:00","14.6",
"01/09/20221:10","14.9",
"01/09/20221:20","15.0",
"01/09/20221:30","14.9",
"01/09/20221:40","14.5",
"01/09/20221:50","14.3",
"01/09/20222:00","14.2",
"01/09/20222:10","13.8",
"01/09/20222:20","14.1",
"01/09/20222:30","14.0",
"01/09/20222:40","13.8",
"01/09/20222:50","14.0",
"01/09/20223:00","14.1",
"01/09/20223:10","13.9",
"01/09/20223:20","13.8",
"01/09/20223:30","13.4",
"01/09/20223:40","13.1",
"01/09/20223:50","13.0",
"01/09/20224:00","13.3",
"01/09/20224:10","13.2",
"01/09/20224:20","13.0",
"01/09/20224:30","12.8",
"01/09/20224:40","12.8",
"01/09/20224:50","12.7",
"01/09/20225:00","12.6",
"01/09/20225:10","12.7",
"01/09/20225:20","12.6",
"01/09/20225:30","12.2",
"01/09/20225:40","12.3",
"01/09/20225:50","12.1",
"01/09/20226:00","12.5",
"01/09/20226:10","12.9",
"01/09/20226:20","13.0",
"01/09/20226:30","13.3",
"01/09/20226:40","13.4",
"01/09/20226:50","14.0",
"01/09/20227:00","15.0",
"01/09/20227:10","15.3",
"01/09/20227:20","15.7",
"01/09/20227:30","16.1",
"01/09/20227:40","17.0",
"01/09/20227:50","17.6",
"01/09/20228:00","18.1",
"01/09/20228:10","18.5",
"01/09/20228:20","18.7",
"01/09/20228:30","19.4",
"01/09/20228:40","19.5",
"01/09/20228:50","19.7",
"01/09/20229:00","20.2",
"01/09/20229:10","20.9",
"01/09/20229:20","21.1",
"01/09/20229:30","21.4",
"01/09/20229:40","21.8",
"01/09/20229:50","22.0",
"01/09/202210:00","22.2",
"01/09/202210:10","22.2",
"01/09/202210:20","22.8",
"01/09/202210:30","23.3",
"01/09/202210:40","23.8",
"01/09/202210:50","23.9",
"01/09/202211:00","24.3",
"01/09/202211:10","24.4",
"01/09/202211:20","24.8",
"01/09/202211:30","25.6",
"01/09/202211:40","26.1",
"01/09/202211:50","26.5",
"01/09/202212:00","26.8",
"01/09/202212:10","27.1",
"01/09/202212:20","27.5",
"01/09/202212:30","27.4",
"01/09/202212:40","27.6",
"01/09/202212:50","28.4",
"01/09/202213:00","28.5",
"01/09/202213:10","28.8",
"01/09/202213:20","29.2",
"01/09/202213:30","29.2",
"01/09/202213:40","29.6",
"01/09/202213:50","29.4",
"01/09/202214:00","29.7",
"01/09/202214:10","29.9",
"01/09/202214:20","30.0",
"01/09/202214:30","29.9",
"01/09/202214:40","30.0",
"01/09/202214:50","30.1",
"01/09/202215:00","30.0",
"01/09/202215:10","30.1",
"01/09/202215:20","30.2",
"01/09/202215:30","30.6",
"01/09/202215:40","30.7",
"01/09/202215:50","30.4",
"01/09/202216:00","30.6",
"01/09/202216:10","30.8",
"01/09/202216:20","30.1",
"01/09/202216:30","28.5",
"01/09/202216:40","27.4",
"01/09/202216:50","27.1",
"01/09/202217:00","26.8",
"01/09/202217:10","26.3",
"01/09/202217:20","25.6",
"01/09/202217:30","24.8",
"01/09/202217:40","24.2",
"01/09/202217:50","23.8",
"01/09/202218:00","23.6",
"01/09/202218:10","23.4",
"01/09/202218:20","23.1",
"01/09/202218:30","22.7",
"01/09/202218:40","22.3",
"01/09/202218:50","22.0",
"01/09/202219:00","21.7",
"01/09/202219:10","21.5",
"01/09/202219:20","21.4",
"01/09/202219:30","21.2",
"01/09/202219:40","20.9",
"01/09/202219:50","20.7",
"01/09/202220:00","20.7",
"01/09/202220:10","20.6",
"01/09/202220:20","20.4",
"01/09/202220:30","20.3",
"01/09/202220:40","20.1",
"01/09/202220:50","19.9",
"01/09/202221:00","19.8",
"01/09/202221:10","19.6",
"01/09/202221:20","19.6",
"01/09/202221:30","19.5",
"01/09/202221:40","19.6",
"01/09/202221:50","19.6",
"01/09/202222:00","19.6",
"01/09/202222:10","19.6",
"01/09/202222:20","19.5",
"01/09/202222:30","19.4",
"01/09/202222:40","19.2",
"01/09/202222:50","19.0",
"01/09/202223:00","18.9",
"01/09/202223:10","18.8",
"01/09/202223:20","18.7",
"01/09/202223:30","18.6",
"01/09/202223:40","18.6",
"01/09/202223:50","18.6",
"02/09/20220:00","18.5",
"02/09/20220:10","18.5",
"02/09/20220:20","18.5",
"02/09/20220:30","18.5",
"02/09/20220:40","18.4",
"02/09/20220:50","18.4",
"02/09/20221:00","18.3",
"02/09/20221:10","18.2",
"02/09/20221:20","18.1",
"02/09/20221:30","17.9",
"02/09/20221:40","17.6",
"02/09/20221:50","17.1",
"02/09/20222:00","17.0",
"02/09/20222:10","17.1",
"02/09/20222:20","17.7",
"02/09/20222:30","18.1",
"02/09/20222:40","18.3",
"02/09/20222:50","18.2",
"02/09/20223:00","18.2",
"02/09/20223:10","18.2",
"02/09/20223:20","18.1",
"02/09/20223:30","18.1",
"02/09/20223:40","18.0",
"02/09/20223:50","18.0",
"02/09/20224:00","18.1",
"02/09/20224:10","18.1",
"02/09/20224:20","18.0",
"02/09/20224:30","18.0",
"02/09/20224:40","18.0",
"02/09/20224:50","17.7",
"02/09/20225:00","17.3",
"02/09/20225:10","17.0",
"02/09/20225:20","17.0",
"02/09/20225:30","17.3",
"02/09/20225:40","17.4",
"02/09/20225:50","17.4",
"02/09/20226:00","17.3",
"02/09/20226:10","17.4",
"02/09/20226:20","17.5",
"02/09/20226:30","17.6",
"02/09/20226:40","17.7",
"02/09/20226:50","17.9",
"02/09/20227:00","18.1",
"02/09/20227:10","18.2",
"02/09/20227:20","18.2",
"02/09/20227:30","18.4",
"02/09/20227:40","18.7",
"02/09/20227:50","18.6",
"02/09/20228:00","18.9",
"02/09/20228:10","19.3",
"02/09/20228:20","19.5",
"02/09/20228:30","19.7",
"02/09/20228:40","19.7",
"02/09/20228:50","19.9",
"02/09/20229:00","20.0",
"02/09/20229:10","20.5",
"02/09/20229:20","20.9",
"02/09/20229:30","21.2",
