98%">"FECHA","TEMPERATURA",
"","  C",
"01/11/20210:00","11.2",
"01/11/20210:10","11.2",
"01/11/20210:20","11.2",
"01/11/20210:30","11.2",
"01/11/20210:40","11.1",
"01/11/20210:50","11.1",
"01/11/20211:00","11.1",
"01/11/20211:10","11.1",
"01/11/20211:20","11.1",
"01/11/20211:30","11.1",
"01/11/20211:40","11.0",
"01/11/20211:50","11.0",
"01/11/20212:00","11.0",
"01/11/20212:10","11.0",
"01/11/20212:20","11.0",
"01/11/20212:30","10.8",
"01/11/20212:40","10.6",
"01/11/20212:50","10.5",
"01/11/20213:00","10.4",
"01/11/20213:10","10.3",
"01/11/20213:20","10.4",
"01/11/20213:30","10.3",
"01/11/20213:40","10.3",
"01/11/20213:50","10.3",
"01/11/20214:00","10.2",
"01/11/20214:10","10.2",
"01/11/20214:20","10.1",
"01/11/20214:30","10.1",
"01/11/20214:40","10.1",
"01/11/20214:50","10.0",
"01/11/20215:00","10.0",
"01/11/20215:10","10.1",
"01/11/20215:20","10.1",
"01/11/20215:30","10.1",
"01/11/20215:40","10.1",
"01/11/20215:50","10.1",
"01/11/20216:00","10.1",
"01/11/20216:10","10.1",
"01/11/20216:20","10.1",
"01/11/20216:30","10.1",
"01/11/20216:40","10.1",
"01/11/20216:50","10.0",
"01/11/20217:00","9.9",
"01/11/20217:10","9.9",
"01/11/20217:20","10.0",
"01/11/20217:30","10.3",
"01/11/20217:40","10.2",
"01/11/20217:50","10.1",
"01/11/20218:00","10.1",
"01/11/20218:10","10.2",
"01/11/20218:20","10.2",
"01/11/20218:30","10.3",
"01/11/20218:40","10.2",
"01/11/20218:50","10.4",
"01/11/20219:00","10.4",
"01/11/20219:10","10.6",
"01/11/20219:20","10.6",
"01/11/20219:30","10.7",
"01/11/20219:40","11.0",
"01/11/20219:50","11.0",
"01/11/202110:00","10.9",
"01/11/202110:10","11.0",
"01/11/202110:20","10.9",
"01/11/202110:30","11.2",
"01/11/202110:40","11.4",
"01/11/202110:50","11.7",
"01/11/202111:00","12.0",
"01/11/202111:10","13.0",
"01/11/202111:20","13.0",
"01/11/202111:30","13.0",
"01/11/202111:40","13.2",
"01/11/202111:50","12.5",
"01/11/202112:00","12.1",
"01/11/202112:10","12.1",
"01/11/202112:20","12.2",
"01/11/202112:30","12.3",
"01/11/202112:40","12.3",
"01/11/202112:50","12.5",
"01/11/202113:00","12.3",
"01/11/202113:10","12.3",
"01/11/202113:20","12.5",
"01/11/202113:30","12.5",
"01/11/202113:40","12.5",
"01/11/202113:50","12.4",
"01/11/202114:00","13.0",
"01/11/202114:10","13.0",
"01/11/202114:20","13.3",
"01/11/202114:30","13.6",
"01/11/202114:40","13.5",
"01/11/202114:50","13.7",
"01/11/202115:00","13.8",
"01/11/202115:10","13.6",
"01/11/202115:20","13.6",
"01/11/202115:30","13.5",
"01/11/202115:40","13.4",
"01/11/202115:50","13.2",
"01/11/202116:00","13.4",
"01/11/202116:10","13.0",
"01/11/202116:20","12.6",
"01/11/202116:30","12.4",
"01/11/202116:40","11.9",
"01/11/202116:50","11.2",
"01/11/202117:00","11.1",
"01/11/202117:10","11.1",
"01/11/202117:20","11.2",
"01/11/202117:30","10.8",
"01/11/202117:40","10.1",
"01/11/202117:50","9.6",
"01/11/202118:00","9.3",
"01/11/202118:10","8.8",
"01/11/202118:20","8.2",
"01/11/202118:30","8.4",
"01/11/202118:40","8.9",
"01/11/202118:50","8.3",
"01/11/202119:00","8.3",
"01/11/202119:10","7.9",
"01/11/202119:20","7.4",
"01/11/202119:30","7.0",
"01/11/202119:40","6.6",
"01/11/202119:50","6.5",
"01/11/202120:00","6.2",
"01/11/202120:10","5.9",
"01/11/202120:20","5.5",
"01/11/202120:30","5.0",
"01/11/202120:40","5.0",
"01/11/202120:50","5.0",
"01/11/202121:00","5.0",
"01/11/202121:10","5.0",
"01/11/202121:20","5.1",
"01/11/202121:30","5.1",
"01/11/202121:40","5.0",
"01/11/202121:50","4.5",
"01/11/202122:00","4.5",
"01/11/202122:10","4.7",
"01/11/202122:20","4.9",
"01/11/202122:30","4.7",
"01/11/202122:40","4.8",
"01/11/202122:50","5.4",
"01/11/202123:00","5.6",
"01/11/202123:10","5.2",
"01/11/202123:20","4.8",
"01/11/202123:30","4.4",
"01/11/202123:40","4.1",
"01/11/202123:50","4.4",
"02/11/20210:00","4.2",
"02/11/20210:10","4.7",
"02/11/20210:20","5.0",
"02/11/20210:30","4.9",
"02/11/20210:40","4.9",
"02/11/20210:50","5.1",
"02/11/20211:00","5.0",
"02/11/20211:10","4.6",
"02/11/20211:20","4.3",
"02/11/20211:30","4.2",
"02/11/20211:40","3.8",
"02/11/20211:50","3.7",
"02/11/20212:00","3.5",
"02/11/20212:10","3.3",
"02/11/20212:20","3.2",
"02/11/20212:30","3.5",
"02/11/20212:40","3.7",
"02/11/20212:50","4.1",
"02/11/20213:00","3.9",
"02/11/20213:10","3.8",
"02/11/20213:20","3.4",
"02/11/20213:30","3.2",
"02/11/20213:40","3.4",
"02/11/20213:50","3.0",
"02/11/20214:00","3.0",
"02/11/20214:10","2.7",
"02/11/20214:20","2.4",
"02/11/20214:30","2.6",
"02/11/20214:40","3.3",
"02/11/20214:50","2.9",
"02/11/20215:00","2.9",
"02/11/20215:10","2.7",
"02/11/20215:20","2.5",
"02/11/20215:30","3.0",
"02/11/20215:40","3.1",
"02/11/20215:50","2.7",
"02/11/20216:00","3.1",
"02/11/20216:10","3.4",
"02/11/20216:20","3.6",
"02/11/20216:30","3.3",
"02/11/20216:40","3.0",
"02/11/20216:50","2.8",
"02/11/20217:00","2.9",
"02/11/20217:10","3.0",
"02/11/20217:20","3.2",
"02/11/20217:30","4.0",
"02/11/20217:40","4.8",
"02/11/20217:50","5.7",
"02/11/20218:00","6.4",
"02/11/20218:10","7.5",
"02/11/20218:20","8.2",
"02/11/20218:30","8.3",
"02/11/20218:40","9.3",
"02/11/20218:50","10.6",
"02/11/20219:00","11.0",
"02/11/20219:10","11.0",
"02/11/20219:20","11.0",
"02/11/20219:30","11.0",
"02/11/20219:40","11.0",
"02/11/20219:50","10.9",
"02/11/202110:00","10.9",
"02/11/202110:10","11.3",
"02/11/202110:20","11.7",
"02/11/202110:30","11.8",
"02/11/202110:40","12.1",
"02/11/202110:50","12.2",
"02/11/202111:00","12.8",
"02/11/202111:10","12.9",
"02/11/202111:20","12.7",
"02/11/202111:30","12.2",
"02/11/202111:40","12.0",
"02/11/202111:50","11.9",
"02/11/202112:00","11.8",
"02/11/202112:10","12.0",
"02/11/202112:20","12.7",
"02/11/202112:30","12.5",
"02/11/202112:40","13.0",
"02/11/202112:50","13.4",
"02/11/202113:00","13.8",
"02/11/202113:10","13.8",
"02/11/202113:20","14.1",
"02/11/202113:30","14.5",
"02/11/202113:40","14.3",
"02/11/202113:50","14.6",
"02/11/202114:00","14.7",
"02/11/202114:10","15.1",
"02/11/202114:20","15.0",
"02/11/202114:30","14.9",
"02/11/202114:40","14.8",
"02/11/202114:50","14.6",
"02/11/202115:00","14.4",
"02/11/202115:10","14.4",
"02/11/202115:20","14.8",
"02/11/202115:30","14.7",
"02/11/202115:40","14.5",
"02/11/202115:50","14.2",
"02/11/202116:00","13.9",
"02/11/202116:10","13.8",
"02/11/202116:20","13.6",
"02/11/202116:30","13.4",
"02/11/202116:40","13.2",
"02/11/202116:50","13.1",
"02/11/202117:00","13.1",
"02/11/202117:10","13.2",
"02/11/202117:20","12.9",
"02/11/202117:30","12.9",
"02/11/202117:40","12.8",
"02/11/202117:50","12.8",
"02/11/202118:00","12.6",
"02/11/202118:10","11.8",
"02/11/202118:20","9.5",
"02/11/202118:30","8.7",
"02/11/202118:40","8.4",
"02/11/202118:50","8.4",
"02/11/202119:00","8.3",
"02/11/202119:10","8.3",
"02/11/202119:20","7.6",
"02/11/202119:30","7.4",
"02/11/202119:40","7.4",
"02/11/202119:50","7.4",
"02/11/202120:00","7.2",
"02/11/202120:10","7.1",
"02/11/202120:20","6.9",
"02/11/202120:30","6.7",
"02/11/202120:40","6.7",
"02/11/202120:50","6.6",
"02/11/202121:00","6.6",
"02/11/202121:10","6.6",
"02/11/202121:20","6.6",
"02/11/202121:30","6.6",
"02/11/202121:40","6.5",
"02/11/202121:50","6.5",
"02/11/202122:00","6.5",
"02/11/202122:10","6.4",
"02/11/202122:20","6.5",
"02/11/202122:30","6.5",
"02/11/202122:40","6.4",
"02/11/202122:50","6.4",
"02/11/202123:00","6.3",
"02/11/202123:10","6.3",
"02/11/202123:20","6.2",
"02/11/202123:30","5.9",
"02/11/202123:40","6.0",
"02/11/202123:50","6.1",
"03/11/20210:00","6.2",
"03/11/20210:10","6.2",
"03/11/20210:20","6.2",
"03/11/20210:30","6.2",
"03/11/20210:40","6.3",
"03/11/20210:50","6.3",
"03/11/20211:00","6.1",
"03/11/20211:10","6.1",
"03/11/20211:20","6.1",
"03/11/20211:30","6.2",
"03/11/20211:40","6.2",
"03/11/20211:50","6.2",
"03/11/20212:00","6.2",
"03/11/20212:10","6.2",
"03/11/20212:20","6.1",
"03/11/20212:30","6.0",
"03/11/20212:40","6.0",
"03/11/20212:50","5.8",
"03/11/20213:00","5.8",
"03/11/20213:10","5.7",
"03/11/20213:20","5.6",
"03/11/20213:30","5.5",
"03/11/20213:40","5.6",
"03/11/20213:50","5.7",
"03/11/20214:00","5.7",
"03/11/20214:10","5.7",
"03/11/20214:20","5.8",
"03/11/20214:30","5.8",
"03/11/20214:40","5.8",
"03/11/20214:50","5.9",
"03/11/20215:00","5.9",
"03/11/20215:10","5.8",
"03/11/20215:20","5.7",
"03/11/20215:30","5.6",
"03/11/20215:40","5.5",
"03/11/20215:50","5.4",
"03/11/20216:00","5.3",
"03/11/20216:10","4.9",
"03/11/20216:20","4.8",
"03/11/20216:30","4.6",
"03/11/20216:40","4.7",
"03/11/20216:50","5.1",
"03/11/20217:00","5.1",
"03/11/20217:10","5.1",
"03/11/20217:20","5.1",
