DateTime,DegreeCelsius
2022-04-15 00:00:00,9.3
2022-04-15 00:10:00,9.1
2022-04-15 00:20:00,8.8
2022-04-15 00:30:00,9.0
2022-04-15 00:40:00,8.6
2022-04-15 00:50:00,8.4
2022-04-15 01:00:00,8.5
2022-04-15 01:10:00,8.2
2022-04-15 01:20:00,7.8
2022-04-15 01:30:00,7.8
2022-04-15 01:40:00,7.2
2022-04-15 01:50:00,7.0
2022-04-15 02:00:00,6.7
2022-04-15 02:10:00,6.5
2022-04-15 02:20:00,6.3
2022-04-15 02:30:00,6.3
2022-04-15 02:40:00,6.6
2022-04-15 02:50:00,6.0
2022-04-15 03:00:00,6.0
2022-04-15 03:10:00,6.0
2022-04-15 03:20:00,5.6
2022-04-15 03:30:00,5.8
2022-04-15 03:40:00,5.9
2022-04-15 03:50:00,5.6
2022-04-15 04:00:00,5.4
2022-04-15 04:10:00,5.4
2022-04-15 04:20:00,5.3
2022-04-15 04:30:00,4.8
2022-04-15 04:40:00,5.0
2022-04-15 04:50:00,4.9
2022-04-15 05:00:00,4.7
2022-04-15 05:10:00,5.3
2022-04-15 05:20:00,4.8
2022-04-15 05:30:00,4.4
2022-04-15 05:40:00,4.4
2022-04-15 05:50:00,4.5
2022-04-15 06:00:00,4.5
2022-04-15 06:10:00,4.7
2022-04-15 06:20:00,4.1
2022-04-15 06:30:00,4.1
2022-04-15 06:40:00,4.2
2022-04-15 06:50:00,4.7
2022-04-15 07:00:00,4.0
2022-04-15 07:10:00,3.6
2022-04-15 07:20:00,3.8
2022-04-15 07:30:00,3.6
2022-04-15 07:40:00,3.7
2022-04-15 07:50:00,3.9
2022-04-15 08:00:00,3.9
2022-04-15 08:10:00,4.3
2022-04-15 08:20:00,4.8
2022-04-15 08:30:00,5.0
2022-04-15 08:40:00,5.5
2022-04-15 08:50:00,6.2
2022-04-15 09:00:00,7.1
2022-04-15 09:10:00,7.5
2022-04-15 09:20:00,8.5
2022-04-15 09:30:00,9.5
2022-04-15 09:40:00,9.8
2022-04-15 09:50:00,10.5
2022-04-15 10:00:00,11.0
2022-04-15 10:10:00,11.4
2022-04-15 10:20:00,11.7
2022-04-15 10:30:00,12.5
2022-04-15 10:40:00,13.2
2022-04-15 10:50:00,13.5
2022-04-15 11:00:00,14.1
2022-04-15 11:10:00,14.2
2022-04-15 11:20:00,14.6
2022-04-15 11:30:00,14.8
2022-04-15 11:40:00,15.0
2022-04-15 11:50:00,15.5
2022-04-15 12:00:00,15.7
2022-04-15 12:10:00,16.0
2022-04-15 12:20:00,16.3
2022-04-15 12:30:00,16.7
2022-04-15 12:40:00,17.0
2022-04-15 12:50:00,17.8
2022-04-15 13:00:00,17.9
2022-04-15 13:10:00,18.6
2022-04-15 13:20:00,18.6
2022-04-15 13:30:00,18.9
2022-04-15 13:40:00,19.2
2022-04-15 13:50:00,19.6
2022-04-15 14:00:00,19.9
2022-04-15 14:10:00,20.0
2022-04-15 14:20:00,20.4
2022-04-15 14:30:00,20.5
2022-04-15 14:40:00,21.0
2022-04-15 14:50:00,21.0
2022-04-15 15:00:00,20.9
2022-04-15 15:10:00,21.2
2022-04-15 15:20:00,21.3
2022-04-15 15:30:00,21.3
2022-04-15 15:40:00,21.2
2022-04-15 15:50:00,21.1
2022-04-15 16:00:00,20.7
2022-04-15 16:10:00,21.0
2022-04-15 16:20:00,20.7
2022-04-15 16:30:00,20.5
2022-04-15 16:40:00,20.4
2022-04-15 16:50:00,20.2
2022-04-15 17:00:00,20.3
2022-04-15 17:10:00,20.4
2022-04-15 17:20:00,20.4
2022-04-15 17:30:00,20.1
2022-04-15 17:40:00,20.1
2022-04-15 17:50:00,20.1
2022-04-15 18:00:00,20.0
2022-04-15 18:10:00,20.1
2022-04-15 18:20:00,19.7
2022-04-15 18:30:00,19.4
2022-04-15 18:40:00,19.4
2022-04-15 18:50:00,19.2
2022-04-15 19:00:00,19.0
2022-04-15 19:10:00,18.8
2022-04-15 19:20:00,18.8
2022-04-15 19:30:00,18.7
2022-04-15 19:40:00,18.3
2022-04-15 19:50:00,18.0
2022-04-15 20:00:00,17.6
2022-04-15 20:10:00,17.3
2022-04-15 20:20:00,17.1
2022-04-15 20:30:00,16.9
2022-04-15 20:40:00,16.5
2022-04-15 20:50:00,15.9
2022-04-15 21:00:00,15.5
2022-04-15 21:10:00,15.1
2022-04-15 21:20:00,14.7
2022-04-15 21:30:00,14.0
2022-04-15 21:40:00,13.1
2022-04-15 21:50:00,13.0
2022-04-15 22:00:00,13.6
2022-04-15 22:10:00,14.0
2022-04-15 22:20:00,14.1
2022-04-15 22:30:00,14.2
2022-04-15 22:40:00,14.0
2022-04-15 22:50:00,13.8
2022-04-15 23:00:00,13.8
2022-04-15 23:10:00,13.7
2022-04-15 23:20:00,13.6
2022-04-15 23:30:00,13.5
2022-04-15 23:40:00,13.3
2022-04-15 23:50:00,12.9
